"","x"
"1",0.00826427990540042
"2",0.0184190834790251
"3",0.260015451766953
"4",0.0511930777812702
"5",0.0202518854146614
"6",0.0109122033133387
"7",0.273651853275792
"8",0.144505088851473
"9",0.00104793755660978
"10",0.00197870479200689
"11",0.118340650040685
"12",0.0992564726603565
"13",0.191316203856616
"14",0.0944155597992852
"15",0.458795227669036
"16",0.0306999645440779
"17",0.0319449308891719
"18",0.0558695632847182
"19",0.674848553210661
"20",0.262546335466428
"21",0.0098592825708531
"22",0.0820351227723292
"23",0.107756384114114
"24",0.00373606607269886
"25",0.000155790015010348
"26",0.00938257126649178
"27",0.032685172441687
"28",0.0543796778906479
"29",0.355183500648292
"30",0.513345041721999
"31",0.142688700875828
"32",0.207947047392903
"33",0.0163819752342121
"34",0.233784680230936
"35",0.00020115426341679
"36",0.833421627449728
"37",0.17379684185205
"38",0.25555978402819
"39",0.0999086439014368
"40",0.653667110286751
"41",0.668356200355262
"42",0.0680101548020902
"43",0.18802044027895
"44",0.0339899496260922
"45",0.0133016060981121
"46",0.286517381321201
"47",0.000756844841602394
"48",0.0815054821476072
"49",0.0498177224484179
"50",0.523228148940855
"51",0.0320001296245018
"52",1.71136577085548e-05
"53",0.000312688840380298
"54",0.600798628832344
"55",2.27966187684175e-07
"56",0.000333522818967466
"57",0.25132157503938
"58",0.477700992209355
"59",0.0147642203690261
"60",0.220709196278732
"61",0.0271474978976395
"62",0.0292757782375897
"63",0.120885113508742
"64",0.0670718904482993
"65",0.310578145306308
"66",0.368703478432394
"67",1.72632200977147e-06
"68",0.00781039537924903
"69",0.116093813346535
"70",0.00018029212372239
"71",0.038206159460789
"72",0.026628384902379
"73",0.12745163395928
"74",0.379964215971617
"75",0.000177943000923814
"76",0.846052379901326
"77",0.013434200853188
"78",0.308706516593299
"79",0.00670114486880726
"80",0.00834954289690378
"81",0.145870460075193
"82",0.245658279907144
"83",0.129973695173902
"84",0.453256761250272
"85",0.621304728917988
"86",0.0300219361599388
"87",0.000498241449673216
"88",0.00135133638636556
"89",1.09343505211029e-05
"90",3.33025883368693e-07
"91",0.294383919749537
"92",0.24552275083166
"93",0.130511303203493
"94",0.397158835956851
"95",0.0782287176497472
"96",0.251816605779561
"97",0.00360440469596027
"98",0.0844612360463277
"99",0.134066528082204
"100",0.0991069951453043
"101",0.64110670126781
"102",0.303329728779628
