"","x"
"1",0.177554852867468
"2",0.00624056444949477
"3",0.933936040613957
"4",0.613426594493372
"5",0.0293216518927992
"6",0.0186786232011628
"7",0.809796131223827
"8",0.527826289356261
"9",0.50761853565944
"10",0.142044378958014
"11",0.130985950917186
"12",0.054170455100894
"13",0.108775238136902
"14",0.941467204599468
"15",0.823061452339142
"16",0.0683007239323932
"17",0.0703706312857955
"18",0.0525887190173916
"19",0.00868194052095082
"20",0.474129633068401
"21",0.133293185991776
"22",0.0598274260200111
"23",0.159710364509471
"24",0.0172741024326846
"25",4.63405693218125e-05
"26",0.197298561248754
"27",4.66814361967676e-08
"28",0.420616936678789
"29",0.384530515365479
"30",0.342164124996983
"31",0.0409143751196227
"32",0.458164719576376
"33",0.863942039522496
"34",0.694623335055564
"35",0.816371487407126
"36",0.0185823709147605
"37",0.313264783758943
"38",0.0774242089000806
"39",0.967396516729047
"40",0.819179498944799
"41",0.113959722653162
"42",0.51252431882855
"43",0.398542067279974
"44",0.239010136801598
"45",0.179842617453237
"46",0.297648734185128
"47",0.0947984022366195
"48",0.561581507432898
"49",0.817166340860845
"50",0.122919804949436
"51",0.443869279941426
"52",1.2313149076157e-05
"53",0.421965846679613
"54",0.311511014510679
"55",0.00101453751845829
"56",0.21231407023483
"57",0.234487077351571
"58",0.323255718632658
"59",0.958434802416573
"60",0.523478104991494
"61",0.429792590502967
"62",0.000543353153686364
"63",0.222314666824006
"64",0.735771042749662
"65",0.00051820925134839
"66",0.424525900930796
"67",0.0925930316112861
"68",0.0787244486004792
"69",1.31207804397323e-19
"70",1.36274401396681e-06
"71",0.441854201733725
"72",0.0275432929231988
"73",0.0196683126515812
"74",0.728639932507631
"75",0.867698634302261
"76",0.558012951103662
"77",0.0607504648155154
"78",0.327743075535006
"79",0.90555240281664
"80",0.733506939499687
"81",0.318602783552236
"82",0.605485946096099
"83",0.734087159021411
"84",0.277328576791884
"85",0.29559864803108
"86",0.978661133663215
"87",0.360523997047537
"88",0.557528202408706
"89",0.744033426553634
"90",0.00136976405947191
"91",0.49770683345516
"92",0.703227828909318
"93",0.000303586366640379
"94",0.935920236379734
"95",0.946071902853532
"96",0.0742122193619552
"97",0.552790215268659
"98",0.806566073868454
"99",0.519320780763305
"100",0.219857940656004
"101",0.914049006570499
"102",1.00442317177067e-05
"103",0.819792185792582
"104",0.782635580541316
"105",0.496984624472618
"106",2.65941690794245e-05
"107",0.952545083760209
"108",0.669548298621798
"109",0.00902870624189592
"110",0.0920458720752611
"111",0.0039985884062708
"112",0.413402479645157
"113",0.470972526774979
"114",0.0138634701726008
"115",0.79367638140918
"116",0.724031711541888
"117",0.81552727273553
"118",0.939391745042221
"119",0.829396189116226
"120",0.429320273353074
