"","x"
"1",0.75409408801534
"2",0.0259230083628253
"3",0.875589665739406
"4",3.63497050453129e-13
"5",0.00497149764476606
"6",3.52394510967049e-05
"7",0.197657446070484
"8",3.64878246327002e-10
"9",0.0249858468695799
"10",1.00979977760999e-11
"11",0.00420608798299879
"12",6.81342553635495e-09
"13",0.17382725647393
"14",0.0875813708889206
"15",0.117894118801725
"16",0.000147608586513922
"17",0.101519306601688
"18",0.136161515419343
"19",4.69157536568691e-05
"20",0.00581739917116754
"21",0.0956031539278446
"22",0.262814897092851
"23",1.70486659032645e-09
"24",0.0577867404410749
"25",0.324863500199978
"26",0.00239867778005805
"27",0.0188942841219843
"28",1.99631825072255e-05
"29",0.186516295667273
"30",0.449561451288317
"31",0.0318014501994341
"32",0.688222534289026
"33",4.39466890596888e-06
"34",0.214839057417757
"35",0.091271374353603
"36",1.72229656229983e-05
"37",0.17821384779137
"38",0.554219909559385
"39",0.000208037170744287
"40",0.140390858988346
"41",0.000163714742016516
"42",0.334669770300754
"43",1.30026254177872e-12
"44",0.0285153189611848
"45",0.0297095830399629
"46",0.826761364628886
"47",0.0012612534280966
"48",0.636942143211029
"49",0.867109651666676
"50",0.0328110885983069
"51",0.289705400426716
"52",0.0159006650398805
"53",0.714739942877037
"54",0.122963572945721
"55",0.132642872822733
"56",0.380442527482172
"57",0.000530706565708833
"58",0.0135915993068154
"59",0.970050489140966
"60",0.0412113266318913
"61",0.0174688286799851
"62",0.00289311440276063
"63",0.0967944730629036
"64",0.0028682585890267
"65",0.0156437072134448
"66",0.0342861687256703
"67",0.0096853105084461
"68",0.056093433315943
"69",0.00233473053836235
"70",0.171494030977823
"71",0.363897760558103
"72",0.209542003076827
"73",0.098675753363543
"74",0.00832087616028029
"75",0.00520770872063234
"76",0.675671253214976
"77",0.0422607733741548
"78",0.000157139465249182
"79",0.0754199597212159
"80",0.00104269285795396
"81",0.00626159283026021
"82",0.00660256287596078
"83",0.127713313737847
"84",0.00555230865914162
