"","x"
"1",0.0150062323214077
"2",0.392736483381173
"3",0.00864222893493539
"4",0.575141358084801
"5",0.115000267787736
"6",0.514442392664671
"7",0.690742629298933
"8",0.935537851538015
"9",0.507439690877798
"10",0.0337042183573716
"11",0.914641061927977
"12",0.0269476723849372
"13",0.0413455651643644
"14",0.473576063514785
"15",0.0458100684210602
"16",0.00763514330288405
"17",0.0145336529801915
"18",0.303215238547753
"19",0.0360122887520653
"20",0.874022869923326
"21",0.858160623814951
"22",0.0838920871895147
"23",0.15462001507028
"24",0.0225376675580147
"25",0.197170801829545
"26",0.130181931386822
"27",0.445435877416299
"28",0.072194949354728
"29",0.174785747388952
"30",0.205967856831487
"31",0.000900108714955456
"32",0.0135656077239452
"33",0.826789331746707
"34",0.1801781346105
"35",0.363783427439863
"36",0.14900104379508
"37",0.288769030513892
"38",0.694702397338039
"39",0.784671120767793
"40",0.881887875762833
"41",0.0273771299216657
"42",0.0301403686619842
"43",0.112056087651065
"44",0.379651937638247
"45",0.335727339813056
"46",0.107860034722534
"47",0.451672137579443
"48",0.592866452877494
"49",0.0389174631698561
"50",0.0662501229448936
"51",0.595047754166012
"52",0.199073072091527
"53",0.0405648882729298
"54",0.0183831143293032
"55",0.166718291642966
"56",0.714151851739286
"57",0.621546353033074
"58",0.373128963823475
"59",0.831728664345278
"60",0.102571222919574
"61",0.267449042317885
"62",0.697370683054928
"63",0.0439462010854784
"64",0.541069987527797
"65",0.0962809495968835
"66",0.00827713025637502
"67",0.0135455844464559
"68",0.921800885429442
"69",0.726653292382039
"70",0.060212755332111
"71",1.20992150150444e-05
"72",0.249267556154868
"73",0.101048467561359
"74",0.094538283200197
"75",0.171879560762405
"76",0.956926033145807
"77",0.824430432371632
"78",0.0349567041164681
"79",0.462813991815425
"80",0.453145214348149
"81",0.6975623008397
"82",0.926018299525028
"83",0.373995402517709
"84",0.631336896052777
"85",0.000684178445288938
"86",0.898971963815302
"87",0.282615481989394
"88",0.410242123624931
"89",0.762646751107071
"90",0.388682174944886
"91",0.000524686756784979
"92",0.803759877450637
"93",0.136655699268367
"94",0.443323695497116
"95",0.00666384600973709
"96",0.893910945708515
"97",0.27688740510526
"98",0.717230740679749
"99",0.557129929605101
"100",0.0577264883768557
"101",0.925246752475
"102",0.000183761987047008
"103",0.174964986303603
"104",0.41458957450314
"105",0.0751156578336323
"106",0.0284694526154037
"107",0.0626331607946018
"108",0.601515280701904
"109",0.0100860914909466
"110",0.101992523450684
"111",0.76136879094522
"112",0.0688841895574592
"113",0.191622730898188
"114",0.805600656642894
"115",0.938047209097833
"116",0.131549860408211
"117",0.81741955270613
"118",0.713844984044959
"119",0.033051634512823
"120",0.934818403735118
"121",0.0656022810200539
"122",0.105531003552225
"123",0.071080971429563
"124",0.849218480126726
"125",0.104931611930506
"126",0.371697910603367
"127",0.292021809009251
"128",0.447938060721113
"129",0.117673492000423
"130",0.377313746298788
"131",0.624417532946451
"132",0.854033339419658
"133",0.640495617172809
"134",0.190689752757034
"135",0.450145298601284
"136",0.214543803170602
"137",0.00874614337052181
