"","x"
"1",8.22591628734675e-16
"2",0.00649135380566323
"3",1.45812190588625e-05
"4",0.0696796361761893
"5",0.0156574987366561
"6",0.00130684505518199
"7",0.386489503214632
"8",0.000148060621014888
"9",0.52441698728484
"10",0.0592307758416489
"11",0.00811589754624679
"12",0.00562840881412207
"13",0.00231482789488184
"14",7.97711002143404e-08
"15",0.400333831056722
"16",7.49875081875461e-06
"17",4.3176181562224e-06
"18",0.183262668306668
"19",0.125575561265113
"20",0.0487898735792184
"21",0.00255557556403811
"22",0.0157138817697536
"23",2.00880646446229e-12
"24",0.000215580579141959
"25",0.0236204281598753
"26",0.00186690977091955
"27",8.51559123802848e-08
"28",2.50819425237261e-05
"29",0.00072285664119828
"30",0.502809959352518
"31",0.630195760241402
"32",9.53720447520864e-05
"33",1.60836824951381e-07
"34",0.0831531326730519
"35",0.0014515845829414
"36",0.00280473211614726
"37",0.000222790624928076
"38",0.00185664409411784
"39",3.04934209287555e-05
"40",0.000315842521311479
"41",0.119374894620831
"42",0.555996588266358
"43",0.00553163290191532
"44",0.451258933914213
"45",0.0484940012654631
"46",0.000824121890485193
"47",0.00326650086629662
"48",0.154788302825612
"49",0.333632276758954
"50",0.138022533590551
"51",5.29655561437601e-11
"52",0.830740755260515
"53",0.643528759780188
"54",0.175408994031446
"55",0.00108601114439847
"56",0.128061135345077
"57",0.603469910450999
"58",0.155420654674372
"59",1.10489542094395e-05
"60",9.451891022094e-13
"61",0.0099904782161354
"62",0.125114406742298
"63",6.24147241078015e-09
"64",0.339725192021839
"65",0.142607863570057
"66",0.699922592377735
"67",0.179548348917559
"68",0.000676726923480795
"69",0.00266012020048897
"70",0.000392065030955186
"71",0.0912470981440586
"72",0.26723040021276
"73",0.016076182262445
"74",1.84848029519872e-05
"75",0.00408445061227369
"76",0.000171170942330302
"77",0.0222691664301084
"78",0.00227941101422381
"79",0.00066964714754727
"80",0.0212820435862514
"81",0.0394822588155802
"82",0.00723621391014825
"83",0.201002369379754
"84",0.0222849324804963
"85",1.54128559139786e-06
"86",0.0397566311787257
"87",0.284595039529261
"88",0.180571232449845
"89",0.755638296836088
"90",1.10082435774005e-05
"91",0.00463880489585131
"92",0.00136110085372026
"93",0.672453395465025
"94",0.892960667055346
"95",0.0810295616624289
"96",1.4055514861835e-08
"97",0.0231791463214789
"98",0.176036530837831
"99",0.0159025189505096
"100",0.188748045076432
"101",0.0181504665229197
"102",0.961663160266079
"103",0.797242265921045
"104",0.258213273940632
"105",0.747689083996139
"106",0.187492607354022
"107",0.293576890452876
