"","PON1","NRXN1","APOBEC2","AP3B2","CST5","GCGR","GFRA3","LMO1","CHRNA4","GABRR1","GAP43","SOD3","TMEM61","GHRH","PAK3","FRMPD4","STMN4","HCN4","ADCY2","SERPINA5","ASB4","SCG5","KCNMB2","MGAT4C","GRIA3","ATP1A2","HAND2","LCN12","SYNGR4","GRIN1","SCGN","MB","NEUROG1","DIRAS3","DSCAML1","KCNC1","PKIB","COL22A1","HAPLN2","SLC4A10","TTBK1","KCNK3","RIPPLY2","KCNJ4","RALYL","RXRG","CELF4","LHFPL5","MS4A8","RNF182","C2CD4B","GRIA2","DCX","CADM2","ZFR2","CPNE4","TCEAL5","CST2","HEPACAM","KCNA1","PCDHA8","NOVA1","PLP1","SNAP91","ONECUT2","KCNB1","C22ORF42","TAGLN3","EPHA8","PCDHB1","RGS8","GPC5","TMEM114","SYT13","GP2","VWC2L","CACNG2","COL20A1","GHSR","ZDHHC22","SOX1","AMER3","SPHKAP","C8ORF86"
"TCGA.18.4083.01A0",6,175,1,955,0,10,53,18,0,172,335,507,4,15,43,0,17,2,1066,5,31,143,64,101,61,10,0,9,27,103,0,3,1,165,13,379,30,56,6,9,631,67,215,5,0,7,44,5,2,445,39,9,0,4,4,169,628,7,9,1,0,359,3,142,1369,25,4,69,6,5,3,3,1,12,0,0,4,5,16,23,0,6,0,0
"TCGA.56.8625.01A0",2,61,5,148,3,10,108,6,20,61,57,464,7,2,146,2,6,10,196,9,11,84,23,7,5,42,17,49,4,33,3,169,0,24,153,15,42,454,8,17,27,114,0,2,2,15,23,0,51,117,34,4,634,25,21,11,4,86,1,64,4,15,1,8,59,8,1,12,5,0,5,24,1,172,0,0,0,4,0,18,0,6,7,15
"TCGA.22.5479.01A0",1,150,2,21,0,7,53,113,2,71,21,836,25,0,15,2,4,40,162,28,9,108,52,121,35,67,2,23,2,10,4,257,11,42,66,1,98,377,4,4,15,40,5,3,0,3,11,0,1331,7,87,4,1,55,21,9,1,31,2,40,1,370,21,4,68,30,5,6,0,10,4,8,0,13,9,0,2,1,0,0,0,1,1,0
"TCGA.NK.A5CT.01A0",7,1,2,457,3,2,15,1,6,229,71,612,23,0,8,11,5,1,9,322,3,61,15,2,5,10,0,105,7,20,0,99,0,11,1,4,425,12,3,0,8,101,0,1,0,11,327,10,2,1,140,265,0,1,3,84,1,1,0,1,1,4,0,5,285,6,0,7,1,1,4,1,0,1,1,1,0,4,0,2,0,0,1,0
"TCGA.56.7582.01A0",0,23,7,414,0,5,8,42,1,278,324,821,40,3,10,4,2,0,135,8,0,74,89,153,3,25,6,7,4,13,0,51,1,13,4,1,143,127,1,3,27,97,188,0,0,12,15,6,0,15,3,9,0,2,6,654,4,11,0,0,0,121,1,226,69,12,2,31,1,6,1,295,0,171,0,1,4,0,0,2,0,2,0,1
"TCGA.85.A50Z.01A0",4,3,7,317,0,2,18,9,1,0,15,259,24,0,5,26,2,3,2,8,4,71,25,46,55,2,0,30,4,3,0,4,0,74,0,0,46,32,0,8,60,40,21,1,0,7,52,0,0,6,65,1,1,4,0,2,0,10,0,3,2,26,0,3,23,12,0,2,34,0,1,5,4,716,0,0,0,2,2,1,0,0,0,0
"TCGA.O2.A52S.01A0",18,25,10,395,2,23,136,55,551,94,211,223,6,2,11,17,5,15,203,47,4,37,44,4,17,9,175,126,6,315,2,11,28,17,24,40,73,775,30,10,40,27,42,104,3,5,226,1,8,61,23,4,0,5,16,2,1,23,1,2,15,222,5,160,370,16,0,379,333,1,21,59,1,319,0,0,3,143,3,947,0,0,0,0
"TCGA.22.A5C4.01A0",74,1850,10,1464,20,37,52,2,26,78,206,405,24,1,6,148,1,15,2619,4,290,201,42,3,27,80,23,69,148,25,9,691,1,33,4,3,1600,2463,6,0,31,343,69,15,5,105,49,18,21,15,396,21,1,74,127,92,9,100,1,0,3,177,5,183,97,15,4,74,42,3,7,6,113,13,1,7,57,3,0,0,277,2,0,10
"TCGA.85.8287.01A0",8,165,2,829,0,34,67,5,1,59,468,1197,8,0,61,10,2,16,183,47,8,151,15,9,71,71,49,49,3,17,2,131,0,84,35,94,226,4007,8,21,44,101,1,3,142,3,47,3,3,285,30,6,3,4,9,46,8,20,3,82,6,49,4,13,37,16,0,24,2,1,4,3,2,133,6,1,0,1,0,0,0,0,4,1
"TCGA.XC.AA0X.01A0",15,21,15,471,4,57,159,21,0,122,61,815,15,1,90,6,4,3,140,24,2,139,24,37,7,81,9,31,4,6,0,71,0,94,25,4,105,183,5,10,61,434,6,3,0,12,16,0,328,67,49,6,2,7,4,47,16,47,2,2,1,30,94,15,18,11,8,27,1,1,7,51,5,61,3,1,5,2,1,0,31,1,1,1
"TCGA.66.2778.01A0",1,13,6,59,7,3,97,7,16,232,15,959,49,0,9,0,0,2,4,13,13,126,52,6,15,21,0,6,2,9,1,423,0,15,2,0,425,15,2,10,162,163,2,2,4,15,158,15,103,15,94,0,0,2,0,21,1,30,0,0,0,4,1,1,11,0,0,11,35,1,0,13,3,5,0,0,1,1,0,0,1,0,0,0
"TCGA.43.2581.01A0",9,1,2,15,0,3,47,0,0,8,4,1086,47,0,32,0,0,1,17,6,4,1457,1,5,16,12,0,32,8,335,0,11,0,1186,2,1,565,115,1,84,23,222,0,0,0,16,181,47,10,5,67,1,0,16,1633,13,1,13,0,8,8,293,1,1,362,3,0,3,1,2,3,360,2,1,2,1,0,1,0,0,0,0,0,0
"TCGA.21.1076.01A0",9,26,5,135,13,122,376,12,4,353,303,1571,5,6,98,2,4,3,48,55,13,252,26,11,11,37,7,49,13,49,2,26,1,92,15,11,205,604,2,9,38,826,2,33,1,57,15,3,17,151,47,2,2,4,15,30,4,217,2,2,5,35,23,54,28,10,4,16,3,6,98,30,38,89,2,2,3,1,3,4,2,0,1,9
"TCGA.33.AASI.01A0",4,1,4,84,1,3,18,2,0,127,1,911,99,1,49,1,1,1,39,118,4,42,8,3,9,5,0,25,26,8,0,92,1,10,3,0,226,56,4,0,18,52,1,0,0,3,146,3,2,5,28,0,1,3,10,6,1,49,2,0,0,20,4,12,5,2,0,2,0,1,1,0,0,1853,1,1,0,0,0,1,0,0,0,0
"TCGA.46.3766.01A0",4,10,15,151,15,1,106,0,0,7,133,1337,17,0,57,7,3,4,80,89,25,228,26,2,76,166,10,2,0,16,5,144,0,94,9,1,422,1198,0,7,13,590,0,0,0,39,23,10,114,52,64,0,0,5,3,42,4,94,1,7,0,23,10,8,27,8,0,9,0,1,2,27,7,133,3,0,0,1,0,0,0,0,4,1
"TCGA.63.A5MN.01A0",44,8,3,24,1,21,4,5,0,4,607,1921,106,0,136,4,2,34,20,450,17,991,8,9,4,37,1,69,1,20,1,431,0,63,12,0,2335,99,3,6,32,31,0,0,0,4,42,4,81,8,23,1,0,20,10,85,3,9,1,31,1,6,1,4,80,35,0,8,0,1,8,3,4,1142,0,1,0,1,0,0,0,0,0,0
"TCGA.LA.A446.01A0",12,98,6,261,6,10,84,47,1,265,37,618,30,0,10,16,9,0,26,13,2,129,33,52,6,47,1,101,11,21,0,24,3,60,11,5,39,28,10,2,42,249,12,2,0,40,15,9,3,84,47,1,4,12,5,64,4,4,1,1,0,52,1,21,40,13,0,4,1,1,2,139,24,790,10,0,0,2,1,1,9,3,0,0
