"","PON1","NRXN1","APOBEC2","AP3B2","CST5","GCGR","GFRA3","LMO1","CHRNA4","GABRR1","GAP43","SOD3","TMEM61","GHRH","PAK3","FRMPD4","STMN4","HCN4","ADCY2","SERPINA5","ASB4","SCG5","KCNMB2","MGAT4C","GRIA3","ATP1A2","HAND2","LCN12","SYNGR4","GRIN1","SCGN","MB","NEUROG1","DIRAS3","DSCAML1","KCNC1","PKIB","COL22A1","HAPLN2","SLC4A10","TTBK1","KCNK3","RIPPLY2","KCNJ4","RALYL","RXRG","CELF4","LHFPL5","MS4A8","RNF182","C2CD4B","GRIA2","DCX","CADM2","ZFR2","CPNE4","TCEAL5","CST2","HEPACAM","KCNA1","PCDHA8","NOVA1","PLP1","SNAP91","ONECUT2","KCNB1","C22ORF42","TAGLN3","EPHA8","PCDHB1","RGS8","GPC5","TMEM114","SYT13","GP2","VWC2L","CACNG2","COL20A1","GHSR","ZDHHC22","SOX1","AMER3","SPHKAP","C8ORF86"
"TCGA.86.8076.01A1",312,18,6,28,9,23,597,31,0,2,8,3195,56,0,744,5,0,99,66,64,26,162,34,11,10,247,0,57,1,51,5,601,0,74,120,1,712,90,2,40,37,420,4,2,1,23,46,8,2406,46,194,2,1,17,25,488,2,39,0,13,17,133,3,15,333,119,13,23,3,10,5,298,9,5,7,7,0,0,0,1,0,1,3,1
"TCGA.78.7159.01A1",146,1,80,9,0,1,6032,1,0,0,17,1113,250,1,3352,1,1,2,15,136,25,865,1,0,0,27,0,60,1,175,1,472,0,9,30,2,124,75,1,17,303,153,1,0,0,60,34,4,50,21,317,0,1,2,3,28,10,30,1,1,5,6,0,6,100,3,1,1,0,6,2,12,0,0,25536,0,0,3,0,0,0,0,0,0
"TCGA.38.7271.01A1",6,8,7,28,17,0,130,1,5,1,4,1881,40,0,98,2,3,27,30,184,6,127,7,16,21,89,0,5,3,50,37,89,0,158,24,0,257,142,4,7,25,559,1,0,0,15,24,1,60,31,106,2,8,32,11,81,2,133,3,2,2,80,7,61,71,8,0,7,0,2,2,30,0,47,68,1,1,0,4,1,1,1,24,0
"TCGA.86.7711.01A1",114,30,1,18,0,7,10,27,0,8,6,11172,226,0,34,0,0,5,27,66,61,317,12,89,15,3,0,34,16,15,0,55,0,17,4,0,562,280,3,35,11,45814,1,0,0,2,245,197,0,9,290,88,0,84,5,24,1,5,0,10,0,55,0,1,25,4,2,1,3,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0
"TCGA.44.3919.01A1",149,7,49,56,57,4,426,0,2,1,27,3413,90,1,104,3,0,34,85,63,31,818,3,2,13,206,0,50,12,15,2,295,0,858,159,7,2271,148,3,37,49,215,0,5,1,25,123,16,317,150,168,12,0,66,1,353,4,343,0,2,15,217,17,17,387,16,0,5,0,51,13,87,5,11,0,2,0,2,0,0,0,1,2,0
"TCGA.69.8255.01A1",9,10,21,351,3,63,362,0,3,28,2,712,68,4,78,1,1,2,10,111,1,274,7,16,1,18,2,571,27,105,15,6,0,15,8,4,755,7,6,9,90,57,194,31,47,33,32,2,0,12,25,30,0,391,20,9,5,5,0,1,37,80,1,7,1773,2,2,0,9,12,0,228,1,20,15,0,1,6,1,1,0,1,0,0
"TCGA.73.7498.01A1",94,11,28,18,121,5,2301,3,3,0,7,3460,213,0,2616,21,1,18,126,37,153,466,8,9,46,1089,2,428,4,135,4,128,0,98,79,2,101,85,20,20,23,5380,1,3,2,55,85,2,71,133,56,2,0,10,11,554,0,468,1,2,13,55,7,3,9,46,0,0,0,3,4,98,2,16,0,1,0,0,0,2,1,0,7,2
"TCGA.NJ.A55O.01A1",31,15,24,21,27,1,74,2,1,30,1,1177,215,0,15,2,0,61,11,5,184,57,5,4,15,67,0,84,1,117,5,7,0,49,30,0,335,16,5,5,15,899,1,0,0,133,23,13,111,25,97,3,0,6,6,327,0,94,1,0,15,30,4,2,2,2,0,0,9,1,1,49,1,1291,5,0,0,1,0,1,1,0,2,0
"TCGA.44.2657.01A1",51,8,7,92,113,2,783,1,1,5,5,2489,23,0,51,2,2,5,88,222,32,229,15,5,20,163,1,78,1,61,0,39,0,55,31,3,73,304,1,4,21,259,0,0,1,61,73,6,376,21,80,5,1,13,115,37,2,110,1,4,2,90,6,39,27,9,1,6,7,11,1,140,3,341,3,0,0,0,0,1,55,0,1,0
"TCGA.86.8672.01A1",4,0,0,15,1,40,5,1,4,1,9,1427,44,0,42,1,0,9,15,80,1,134,0,2,4,3,1,20,12,20,0,199,0,16,6,1,1082,117,4,3,15,21,0,1,0,0,55,15,3,2,39,0,0,2,1,46,0,30,0,0,4,33,2,0,47,0,0,0,0,0,4,0,0,0,0,2,2,8,0,0,0,1,0,0
"TCGA.L9.A443.01A1",122,12,1962,40,24,107,28,11,4,1,20,1681,196,0,3131,2,0,18,40,44,23,1052,31,4,4,199,2,69,1,290,7,606,0,47,134,2,175,222,8,2,9,151,0,0,0,6,126,20,850,13,364,3,0,113,942,308,2,891,1,9,0,137,31,4,3,56,1,15,1,3,1,151,0,252,0,15,0,1,0,0,0,3,6,0
"TCGA.35.4122.01A1",63,2,2,24,5,2,49,10,0,2,50,2056,61,0,31,0,0,3,13,357,8,2074,25,31,11,37,0,15,56,11,0,240,0,33,30,0,11374,206,1,12,6,154,0,2,0,37,23,32,4,39,63,2,0,15,8,159,8,146,0,0,0,12,0,2,9,2,0,34,5,9,0,26,3,2550,0,0,0,0,0,2,0,1,3,3
"TCGA.64.5778.01A1",894,4,11,30,13,2,61,1,0,0,3,1480,189,0,6,1,1,23,12,15,122,2430,17,1,3,6,0,78,12,9,0,363,0,726,106,0,232,139,6,8,15,92,0,0,0,13,213,21,222,26,119,3,0,11,6,867,0,52,2,11,0,13,6,4,21,4,0,32,1,15,3,61,1,2,6,2,0,2,0,0,0,0,0,0
"TCGA.86.8585.01A1",17,0,2,12,1,3,11,2,0,18,6,680,131,0,12,1,1,1,7,10,2,42,10,0,10,30,0,81,240,4,1,3443,0,24,17,4,907,82,6,1,6,98,1,0,0,3,66,3,46,4,53,89,0,40,7,5,1,6,0,5,10,73,0,4,23,4,0,4,2,0,4,8,1,7,0,0,4,1,0,0,0,0,0,0
"TCGA.55.6970.01A1",8,2,21,257,12,2,212,30,510,0,18,1481,63,0,74,4,2,169,21,20,21,59,3,6,13,73,1,39,24,43,0,92,0,55,25,1,565,68,8,9,26,1053,0,0,0,53,257,5,24,40,108,2,1,9,6,505,1,32,0,0,4,356,4,10,131,177,0,0,4,9,5,47,0,2145,1,2,7,0,0,0,0,1,3,0
"TCGA.55.8614.01A1",15,0,84,53,8,18,431,1,0,3,16,1268,81,1,40,1,3,11,27,21,44,223,42,2,3,42,0,35,4,26,0,268,0,118,33,47,126,92,5,4,30,461,0,2,0,15,40,2,353,15,80,0,0,3,61,114,12,95,0,7,1,52,5,1,211,10,1,143,222,5,0,8,1,5,1,1,0,0,0,0,55,1,0,0
"TCGA.55.6712.01A1",37,1,4,10,5,0,4,0,0,0,12,797,124,0,131,0,0,10,2,21,63,37,6,17,1,49,0,6,6,275,1,236,0,24,437,0,118,61,0,4,12,46,0,1,0,2,26,2,158,9,12,0,0,2,567,16,0,268,0,0,3,7,5,3,27,9,1,4,0,0,5,9,2,1,0,0,0,0,0,0,0,2,1,0
"TCGA.50.5931.01A1",13,528,6,381,4,0,148,4,2,49,126,400,11,0,39,23,1,3,55,30,9,765,31,1,13,92,46,81,8,40,8,540,0,40,47,2,495,146,13,6,98,68,23,12,247,13,423,94,55,239,121,6,3,21,9,61,259,105,1,3,0,87,200,98,103,3,0,124,30,23,1,27,5,411,37,1,4,0,1,10,427,0,8,0
"TCGA.49.AARO.01A1",134,10,4,30,3,20,31,3,1,15,39,3334,232,0,156,3,0,39,69,37,17,631,26,2,10,184,5,144,15,144,8,374,0,37,40,2,346,199,2,15,25,226,2,0,0,8,11,21,1237,12,32,1,0,9,668,337,3,123,0,37,25,130,13,3,9,25,5,32,0,15,2,2,27,31,9,3,7,1,0,1,0,3,2,0
"TCGA.93.A4JP.01A1",30,27,30,21,80,2,126,0,15,1,0,2780,241,0,65,13,1,21,190,42,71,12,33,30,6,796,9,61,9,171,7,1331,0,209,162,6,1244,17,1,16,16,3232,8,1,0,215,71,128,649,616,172,13,0,98,2,47,0,3,0,0,3,168,23,6,27,668,0,3,1,9,9,159,0,39,0,1,0,2,0,0,2,0,3,1
"TCGA.91.6830.01A1",175,25,15,137,26,1,46,9,0,75,8,1487,63,0,37,1,0,61,15,184,15,428,15,20,18,303,1,282,7,10,2,30,0,47,76,1,46,207,1,4,10,845,4,1,1,61,122,37,80,126,123,2,5,31,11,53,8,4,3,1,0,17,12,5,15,42,0,2,10,6,6,12,0,2033,0,1,5,4,0,0,0,8,3,0
"TCGA.75.6212.01A1",23,15,3,63,114,2,2899,0,5,2,5,3575,16,0,47,3,0,2,10,60,151,61,2,4,11,74,1,40,0,67,0,782,0,181,2,1,362,8,2,6,10,1108,0,0,0,55,39,1,6,9,23,3,1,6,588,226,0,30,4,0,7,217,3,21,4,140,1,1,3,1,0,7,5,3,0,0,1,0,0,1,0,0,0,0
"TCGA.67.3774.01A1",12,10,24,26,6,4,1016,15,0,7,0,1760,69,0,785,4,2,295,23,80,37,1434,35,1,16,154,0,332,2,139,2,84,0,150,159,0,136,42,3,20,13,988,1,0,0,55,84,20,737,30,23,2,1,5,6,265,3,94,2,4,0,40,12,3,27,17,0,15,11,5,3,63,1,680,13,0,0,1,0,1,0,1,3,0
"TCGA.78.7153.01A1",28,8,2,6,15,1,454,3,1,2,2,862,24,0,988,0,7,1,39,56,391,798,0,1,4,23,0,51,1,123,1,728,0,37,3,0,130,10,0,2,8,376,0,0,61,7,5,7,959,9,23,1,2,18,0,18,1,139,0,1,12,255,2,10,1102,101,1,1,0,1,1,4,2,10,0,0,0,0,0,1,0,1,0,0
"TCGA.91.6828.01A1",13,3,8,7,0,1,475,0,0,0,2,312,149,0,201,0,1,7,5,40,9,765,13,0,4,42,1,23,3,89,0,293,0,20,52,2,184,26,0,8,20,314,0,0,0,21,79,6,12,13,855,1,0,2,0,49,0,10,4,1,0,7,1,0,507,7,0,2,0,1,5,33,0,0,1,0,0,0,0,1,0,0,1,0
"TCGA.L9.A743.01A1",148,11,17,37,16,15,121,39,0,3,13,2284,126,0,175,5,1,30,44,455,35,1465,21,2,7,148,2,98,16,226,7,437,0,420,148,1,511,341,9,11,61,853,0,1,0,30,40,11,618,28,173,1,0,10,20,165,1,11,3,0,0,42,5,17,46,40,0,10,2,5,5,92,4,267,9,7,1,6,1,1,1,2,4,0
"TCGA.75.6211.01A1",11,3,1,9,0,163,6125,2,0,20,1,3116,85,1,15,0,0,103,21,27,15,7676,7,2,2,12,0,59,340,445,1,2094,0,6,295,4,65,40,1,18,21,438,2,0,0,1,503,3,80,9,33,0,1,0,1,34,0,11,0,2,3,142,2,0,420,7,0,18,5,2,0,10,0,23,4,0,0,0,0,3,0,0,0,17
"TCGA.50.6591.01A1",43,43,61,10,0,1,255,2,8,2439,477,277,3,3,247,6,0,21,519,1,98,252,15,1,46,265,422,10,4,4,4,159,0,64,21,7,89,197,7,24,47,15,13,67,10,385,20,10,10,206,146,2,262,103,3,9,231,8,2,0,3,826,783,74,370,32,1,2,4,2,3,34,3,763,1,3,0,1,1,15,0,0,33,0
"TCGA.44.2661.01A1",46,11,30,80,97,11,962,3,3,3,11,2149,52,2,56,1,0,86,79,46,21,628,35,4,8,84,1,30,7,97,1,220,0,60,17,0,1085,121,1,28,30,183,0,3,0,34,24,4,623,47,114,15,0,6,525,6,1,433,3,11,3,30,15,12,12,9,0,11,1,7,9,215,3,25,4,1,0,1,0,0,0,1,2,0
"TCGA.62.8398.01A1",3,2,6,12,124,160,37,7,0,0,5,1029,197,1,688,1,0,222,5,1511,13,183,2,5,4,32,1,327,40,21,0,21,0,6,228,1,468,94,11,21,55,82,0,4,0,15,74,33,4,15,106,1,1,175,2,1435,0,1138,1,7,3,92,1,1,3,3,0,0,0,0,5,21,0,15084,0,0,1,6,0,0,0,0,0,0
"TCGA.38.4632.01A1",523,2,65,15,7,7,126,3,0,13,4,3324,30,0,27,2,0,2,3,9,73,803,6,0,1,40,0,18,25,144,1,724,0,980,483,0,464,27,0,7,7,49,1,1,0,1,17,18,111,7,119,1,1,5,1,80,0,1209,0,1,1,23,1,0,6,3,1,52,2,0,1,3,0,189,1,0,23,1,0,0,0,0,0,0
"TCGA.73.4668.01A1",80,5,11,16,11,28,21,1,1,4,31,1750,133,0,52,0,1,6,39,49,51,1202,8,2,33,249,2,105,23,567,0,1375,0,98,6,3,328,135,10,2,15,859,0,2,0,1,305,23,8,21,21,7,0,13,921,140,9,247,0,1,4,374,10,2,25,17,0,4,1,2,2,32,4,622,1,1,1,1,0,3,0,1,2,1
"TCGA.53.7626.01A1",60,44,26,47,17,0,1612,0,5,6,7,2915,69,0,108,12,1,15,74,105,15,142,21,24,24,488,1,53,6,205,0,568,0,142,146,1,843,137,5,21,47,2086,2,2,0,1510,254,3,103,188,328,8,5,37,64,695,6,39,3,5,1,49,6,15,181,85,0,6,2,6,15,887,1,11,20,1,0,1,0,0,0,0,15,1
"TCGA.55.8506.01A1",40,0,8,23,6,1,17,1,21,0,0,2227,374,0,7,0,0,0,16,0,15,69,2,0,4,4,0,21,23,495,0,1425,0,2,4,1,84,60,2,12,9,98,0,0,0,5,17,9,63,15,229,1,1,5,3,12,0,20,0,5,0,338,0,0,278,23,1,4,2,0,5,3,0,2,0,1,0,129,0,0,30,0,0,0
"TCGA.69.7974.01A1",20,23,2066,82,6,1,63,3,2,2,8,1943,323,0,35,7,0,28,49,100,53,120,26,2,6,254,2,49,7,468,2,1895,0,25,351,1,1677,71,2,9,28,400,1,1,0,49,139,16,953,42,222,1,0,21,1407,7,3,13,1,37,5,80,24,5,206,97,5,40,1,15,5,56,3,17,2,9,0,2,0,0,0,9,8,0
"TCGA.J2.8192.01A1",49,2,26,21,509,9,166,1,0,86,73,2656,230,1,860,4,2,17,295,78,194,348,21,5,92,165,8,75,10,52,0,2948,0,670,97,7,3571,740,3,26,35,277,0,1,0,56,50,35,412,32,341,15,3,39,50,356,3,74,0,55,23,148,3,10,11,42,0,2,1,12,21,23,26,20,1,8,1,0,0,1,26,0,2,0
"TCGA.86.7955.01A1",31,2,12,178,0,1,13,94,0,10,8,438,343,8,5,0,0,0,5,20,78,285,4,10,3,55,3,61,23,882,0,1272,0,21,3,1,6857,153,3,9,13,107,0,2,0,3,193,10,8,12,1505,73,0,34,1,27,1,7,3,0,2,476,0,0,438,6,0,3,3,0,11,3,0,1,2313,1,0,4,0,0,0,0,0,1
"TCGA.MN.A4N4.01A1",63,1,4,25,159,0,15,0,1,160,13,1299,94,0,18,0,0,11,32,20,20,144,6,4,11,60,1,205,49,184,4,8286,0,16,103,0,647,411,7,11,15,47,0,1,21,0,21,3,5,15,44,16,0,120,1023,234,7,793,1,0,33,60,4,0,35,2,0,0,3,3,3,1,0,15,0,4,0,4,0,0,3,1,0,0
"TCGA.78.7146.01A1",49,1,7,33,0,3,7,39,1,0,24,1177,163,0,21,0,0,4,3,1091,9,401,30,6,9,80,1,34,12,27,0,1400,0,3,46,2,413,42,4,3,5,82,23,9,0,1,35,24,0,15,20,12,1,4,2,69,0,8,0,0,0,23,0,63,67,6,0,8,1,0,2,8,1,2109,0,1,12,1,2,1,0,1,1,0
"TCGA.86.A4JF.01A1",51,1,13,7,4,6,189,6,0,1,4,1373,40,0,8,0,4,6,4,86,13,428,5,0,4,35,0,97,121,197,0,1223,0,42,4,1,955,49,2,31,34,206,0,1,0,26,228,15,17,13,327,1,0,5,3,894,1,40,0,0,3,87,2,1,247,171,0,0,5,2,0,76,0,0,0,0,1,208,1,0,0,0,0,0
"TCGA.69.8253.01A1",21,11,13,40,283,3,217,4,3,0,17,3663,259,0,127,2,1,840,21,37,23,89,4,4,8,243,1,177,7,28,0,42,0,217,259,0,165,55,4,15,6,1208,0,2,1,74,55,4,94,37,50,4,2,21,8,61,2,76,7,2,1,47,18,15,11,47,1,4,4,2,8,238,1,9,1,1,0,3,0,7,0,1,18,0
"TCGA.05.5423.01A1",53,2,21,11,42,4,381,20,0,51,5,3965,21,0,75,0,0,18,21,0,28,201,8,4,3,40,1,47,12,10,4,129,0,49,18,0,519,5,0,7,5,189,0,0,0,551,30,10,315,27,51,2,0,2,2,512,4,160,1,0,3,44,5,0,1,3,0,8,1,0,2,76,2,7,0,1,1,0,0,0,0,0,0,1
"TCGA.55.7995.01A1",13,1,15,32,10,10,7476,5,6,0,13,916,32,0,39,1,4,5,15,2629,42,2667,20,3,4,15,6,197,18,526,0,1237,0,51,25,12,2265,111,21,30,142,184,0,8,0,73,40,63,55,664,37,5,4,5,11,31,42,20,0,8,24,362,3,1,146,7,0,3,7,4,30,5,2,990,0,2,0,2,0,2,0,0,0,16
"TCGA.J2.A4AD.01A1",67,11,16,338,3,3,59,3,1,23,51,2072,338,2,26,2,2,21,74,8,59,197,46,9,11,172,1,160,23,416,4,1451,0,43,33,6,1694,121,4,8,3,362,16,1,0,24,257,92,525,42,88,16,0,285,7,442,4,65,1,10,9,81,7,2,103,136,2,3,2,11,1,8,7,13,4,13,1,1,0,2,1,2,4,0
"TCGA.55.7570.01A1",110,56,18,667,6,2,1402,0,5,0,12,707,84,0,12,0,1,11,16,687,75,241,50,6,11,47,0,90,65,37,7,20,0,122,5,11,57,46,4,3,12,143,20,7,11,7,319,8,75,25,222,0,3,1,2,8,1,349,9,0,47,10,0,11,398,2,1,154,3,0,2,2,1,144,63,3,0,12,0,98,0,3,0,10
"TCGA.97.8552.01A1",12,47,6,163,114,5,409,39,10,0,1,2382,94,0,122,9,0,372,107,21,42,549,97,6,15,259,2,171,0,55,30,207,0,113,219,4,443,10,6,10,15,616,0,1,1,46,37,5,4221,67,52,3,1,16,42,160,2,42,0,71,5,149,23,9,27,185,0,46,2,42,5,30,3,37,6,4,0,3,2,2,1,2,4,2
"TCGA.05.5428.01A1",53,1,24,61,4,3,21,0,0,2,33,507,0,0,16,0,0,2,7,16,27,688,2,1,6,11,0,9,5,92,2,431,0,7,52,0,841,42,1,5,0,24,1,1,0,6,79,2,15,23,5,2,0,64,1,55,0,28,0,0,0,5,0,0,7,0,0,1,0,0,0,4,2,2,1,0,0,0,0,0,0,0,0,0
"TCGA.05.4426.01A1",274,1,21,1295,52,4,42,8,0,0,37,5644,476,0,1273,2,2,25,66,13,183,4794,3,1,7,51,0,267,13,63,1,1341,0,3423,25,5,428,573,5,15,16,528,0,0,0,24,61,31,75,23,60,13,21,13,2,90,2,151,1,0,15,380,1,40,60,47,0,1,32,51,4,15,3,64,1,1,0,42,0,1,0,50,3,0
"TCGA.05.4417.01A1",4,4,2,3,3,3,726,12,0,1,12,1148,229,0,860,0,0,2,23,8,219,407,12,2,7,111,1,20,0,177,0,306,0,61,95,0,379,189,0,66,46,215,3,0,0,42,63,20,40,20,364,0,1,4,146,127,4,51,0,5,1,30,4,1,40,9,0,0,1,0,3,9,0,2761,0,1,0,0,0,0,0,2,2,0
"TCGA.86.8280.01A1",184,16,32,117,185,13,12369,17,7,6,11,5728,55,0,92,23,1,24,156,15,163,534,23,6,18,400,6,181,80,68,15,229,0,249,79,3,383,131,5,15,55,579,1,2,2,127,59,6,938,103,153,4,0,118,23,349,4,15,1,23,18,389,28,13,13,65,0,15,3,20,30,39,6,21,16,1,0,3,3,2,4,1,21,0
"TCGA.86.8055.01A1",21,4,166,25,7,1,370,6,0,57,175,1706,287,0,69,6,0,128,259,575,64,1560,10,40,28,71,6,24,84,197,1,2156,0,148,431,1,3330,184,2,15,30,127,0,1,0,4,44,49,21,32,61,15,1,3,15,341,8,207,2,8,10,428,3,7,16,52,0,3,2,0,11,9,21,807,1,2,2,2,0,3,0,2,1,0
"TCGA.05.4249.01A1",133,13,8,143,12,6,1219,9,0,1,3,902,140,0,34,8,0,268,39,10,37,50,27,3,10,165,2,80,9,151,0,281,0,68,95,3,953,37,2,5,66,555,0,0,1,143,26,15,483,42,395,1,0,7,8,129,1,177,2,1,18,303,5,15,340,49,1,3,7,18,4,110,0,303,0,2,0,0,1,6,308,3,0,0
"TCGA.MP.A4T8.01A1",248,0,24,3,31,47,129,17,1,3,37,548,188,0,600,0,0,4,21,25,35,303,3,0,4,6,0,105,53,613,15,1257,0,86,151,0,1063,178,13,11,11,274,0,1,0,17,203,26,13,42,65,3,0,31,6,20,0,201,0,4,1,4,0,2,300,10,1,2,4,0,1,4,0,6854,0,2,6,1,0,0,0,1,2,0
"TCGA.97.A4M5.01A1",5,30,15,61,31,10,126,1,0,3,28,2424,80,0,67,7,1,1067,123,42,37,52,44,2,15,382,0,194,3,37,1,676,0,92,185,1,387,86,5,7,75,1278,0,1,0,151,75,6,2381,118,50,1,6,35,40,229,4,183,0,40,8,92,15,11,1223,99,1,37,47,23,4,107,4,4356,0,2,1,2,0,1,1,0,1,1
"TCGA.50.5930.01A1",44,0,1,49,1,4,17,5,0,99,7,911,51,0,16,0,0,4,0,37,31,47,5,0,3,53,0,18,3,6,0,134,0,6,20,1,39,53,0,1,2,122,1,0,0,2,33,3,49,6,21,0,0,24,1,105,3,2,0,1,2,10,0,3,4,6,0,0,2,3,0,9,3,198,2,0,0,0,0,0,0,0,0,0
"TCGA.69.A59K.01A1",30,2,15,670,6,4,12,23,3,0,9,1978,16,0,44,2,0,5,23,16,21,1956,3,2,1,150,0,541,583,3158,3,682,2,226,9,6,156,133,28,57,18,466,5,9,1,20,111,23,143,12,18,2,4,23,3,118,1,80,0,2,2,530,2,37,295,418,1,1,40,4,0,31,1,5,0,2,0,56,1,1,0,0,2,0
"TCGA.50.5942.01A1",135,15,26,49,5,1,1340,0,3,0,1,1659,69,0,105,21,0,12,103,34,86,103,24,6,8,376,2,26,2,12,5,191,0,247,103,2,149,21,3,6,17,389,0,0,1,617,118,1,682,44,351,2,0,177,13,15,2,23,1,43,4,529,10,3,12,43,0,4,0,15,4,3,0,7,3,2,0,1,0,1,1,1,9,0
"TCGA.55.7815.01A1",6,23,6,13,0,0,822,0,0,0,7,90,12,0,1036,1,0,4,23,18,5,543,4,0,0,3,2,4,7,8,0,226,0,27,0,0,866,28,0,298,5,61,0,0,0,124,115,12,0,6,142,2,0,8,0,136,0,28,0,1,1,21,2,39,261,5,0,0,0,1,2,0,0,4095,0,0,0,0,0,0,0,0,0,0
"TCGA.44.A4SU.01A1",205,5,68,199,10,11,396,1,0,0,26,1120,252,0,88,2,2,35,50,32,84,197,8,0,4,161,2,398,12,105,0,501,0,226,65,5,973,159,3,17,26,98,0,1,2,55,100,16,432,11,127,2,1,165,15,337,2,130,1,0,15,332,5,7,12,9,2,2,3,5,1,21,2,199,1,7,0,5,0,21,21,1,0,0
"TCGA.44.A47B.01A1",25,3,7,95,3,11,675,2,0,3,6,1035,103,1,40,4,2,200,7,26,0,479,11,6,5,57,4,120,0,181,0,231,0,557,21,12,297,20,3,3,17,74,0,0,0,3,587,16,15,10,57,3,2,10,1,591,2,12,0,0,8,207,15,73,407,3,2,0,0,9,5,76,0,5,4,0,0,1,0,0,1,0,0,0
"TCGA.55.7816.01A1",21,28,12,121,3,4,74,5,6,1,148,1116,15,0,223,357,1,13,31,380,15,1205,30,2058,21,346,241,43,2,26,0,18,0,461,1110,17,64,114,1,23,15,37,4,1,0,30,53,11,1,160,30,13,28,50,40,44,61,10,67,177,1,356,215,15,21,3154,0,1,2,26,82,3,0,17,0,3,1,1,0,0,0,8,2,0
"TCGA.MP.A4TJ.01A1",15,17,7,42,2,9,403,5,3,1,7,606,49,0,359,5,1,71,85,6,17,389,47,0,4,30,0,46,2,46,3,404,0,47,34,5,194,243,2,16,30,367,0,2,2,23,20,2,1566,21,105,2,1,5,15,113,1,16,2,50,0,35,13,12,20,51,1,18,6,21,0,47,0,97,8,0,0,0,0,0,0,0,2,0
"TCGA.50.6673.01A1",0,11,20,261,11,0,719,15,0,2,103,3214,257,0,28,3,0,49,34,840,40,311,28,7,9,225,1,8,20,56,9,270,0,49,360,3,442,267,0,4,85,936,4,4,2,118,75,49,340,44,205,2,6,17,6,85,1,139,1,10,5,42,12,0,1217,34,1,2,1,9,9,15,0,6237,3,0,0,0,0,2,1,1,0,0
"TCGA.75.5147.01A1",168,53,64,142,6,4,3275,21,1,305,203,2121,153,0,128,13,2,15,69,330,4309,4236,39,616,13,76,2,118,169,107,149,1010,0,245,189,2,2271,833,7,30,30,502,9,0,2,63,86,122,2240,123,630,64,9,194,15,254,84,12,0,18,8,65,23,238,94,8,1,16,23,25,7,60,23,2397,670,1,0,1,1,201,0,18,20,0
"TCGA.50.5072.01A1",42,24,15,289,6,1,509,42,2,42,130,1352,119,0,43,2,0,56,40,425,27,261,21,8,12,84,28,10,47,78,55,73,0,205,16,5,5495,535,15,11,16,882,15,2,0,31,69,21,23,103,317,5,4,28,15,312,1,103,0,2,20,68,0,33,95,16,0,6,2,3,1,23,23,173,803,0,0,0,0,0,2,3,0,0
"TCGA.93.7348.01A1",94,20,13,23,30,5,1602,2,5,2,47,2903,47,1,74,3,1,160,121,105,95,422,9,1,44,111,1,61,5,92,9,483,0,57,28,2,252,688,3,3,139,222,0,1,4,18,21,1,1183,21,753,2,18,46,2,56,5,139,2,3,1,129,57,6,188,28,2,3,9,4,8,60,0,76,5,0,0,1,0,1,59,2,3,0
"TCGA.67.3770.01A1",71,1,142,68,165,0,2819,0,0,0,5,4522,13,0,27,3,0,1,26,25,37,1367,8,1,5,74,0,74,9,28,1,47,0,236,6,0,318,39,1,15,9,171,1,0,0,82,28,5,133,23,31,0,0,6,0,370,1,205,0,2,10,30,6,4,28,2,0,4,0,17,0,20,3,9,1,2,0,0,0,2,0,1,0,0
"TCGA.78.7150.01A1",26,6,4,311,0,0,4,75,0,3,119,871,88,1,15,0,0,49,40,117,28,573,12,0,56,7,0,40,60,37,0,23,0,498,18,1,1742,986,3,11,28,1279,26,1,0,0,23,79,3,55,59,1,0,461,4,288,2,42,0,2,0,134,5,11,197,1,1,0,1,6,2,8,0,129,11,0,0,0,1,0,0,0,92,1
"TCGA.64.5779.01A1",7,50,6,11,6,0,9003,1,1,3,2,769,81,0,133,4,9,0,9,23,12,1162,5,17,8,21,0,33,4,230,15,245,0,15,61,2,71,123,2,30,30,98,0,0,1,6,257,6,3,92,69,3,1,1,457,18,1,105,2,2,1,21,113,3,49,9,0,0,4,1,0,5,0,50,0,0,0,2,1,1,0,0,0,2
"TCGA.99.8025.01A1",833,61,16,50,3,1,940,6,1,5,82,3259,166,0,207,11,0,66,142,23,40,333,94,6,6,131,2,98,12,75,37,1377,0,27,191,2,259,165,5,8,9,135,0,1,2,6,362,4,3085,33,206,2,0,15,18,960,7,94,0,122,18,55,7,11,148,103,2,50,0,40,1,3,2,18,1,7,1,2,2,4,4,1,9,0
"TCGA.MP.A4TE.01A1",28,4,6,79,0,60,6236,47,0,0,5,1907,845,0,1894,0,2,34,5,21,186,4125,35,15,1,12,3,392,21,438,177,2071,0,2,360,7,429,68,4,69,30,624,0,3,0,0,26,16,1173,4,1125,2,0,0,0,8,0,12,1,0,2,3,1,0,0,10,0,135,7,3,0,4,0,1052,30585,0,0,1,0,4,1,15,0,0
"TCGA.49.4514.01A1",7,7,6,4,33,1,400,20,0,56,8,3865,30,0,5,0,0,1070,16,57,0,108,9,7,3,15,0,28,5,1,0,406,0,6,126,0,32,98,1,0,35,212,0,0,0,1,238,6,197,5,162,0,0,3,6,314,0,63,1,1,15,47,3,5,0,317,1,12,0,3,15,154,1,503,4,0,0,0,0,0,2,0,0,1
