"","x"
"1",0.583448970158351
"2",0.136387351715137
"3",0.802320985053187
"4",0.798844031188539
"5",0.84937729870561
"6",0.40779133704955
"7",0.989494532176393
"8",0.527035251737842
"9",0.853284614156584
"10",0.682630311011806
"11",0.00705791766978147
"12",0.500854653029993
"13",0.785941435866213
"14",0.273744499706529
"15",0.607741102081079
"16",0.782435261377139
"17",0.282982520468539
"18",0.344386747459397
"19",0.716896332232248
"20",0.324357968846035
"21",0.573373375520317
"22",0.540522261819128
"23",0.462076903164067
"24",0.902107046108382
"25",0.386243773458814
"26",0.209364405410809
"27",0.530447223972766
"28",0.119801569329149
"29",0.026467581883004
"30",0.46392765838262
"31",0.303760385493428
"32",0.87795015854387
"33",0.0499344246751625
"34",0.512071335329064
"35",0.943983903865651
"36",0.370086994398606
"37",0.641679307582416
"38",0.813942799839207
"39",0.830253791782678
"40",0.658056523312005
"41",0.899838036546024
"42",0.692102291197763
"43",0.768960126328441
"44",0.813849031561215
"45",0.974767529522631
"46",0.656919222537641
"47",0.760966511524625
"48",0.0488826599300266
"49",0.322796130123342
"50",0.0217251787945782
"51",0.710173291074985
"52",0.861697484052292
"53",0.670764010073353
"54",0.412516171439841
"55",0.088719697627679
"56",0.0597132198784756
"57",0.892430385385277
"58",0.457946986910556
"59",0.58457540534202
"60",0.110133622787668
"61",0.952461865181678
"62",0.719460947167709
"63",0.79651883134243
"64",0.334333494785415
"65",0.33583266647731
"66",0.669991594367176
"67",0.510561594658473
"68",0.774985272456999
"69",0.698864486084052
"70",0.441248896296455
"71",0.572017393953066
"72",0.762669886279793
"73",0.912726124170215
"74",0.041358422565727
"75",0.777895225338116
"76",0.265704737619318
"77",0.890227233105102
"78",0.698494582658119
"79",0.558710418574966
"80",0.995128098566133
"81",0.845813825427693
"82",0.0926161360570708
"83",0.58890699244476
"84",0.490636737973928
"85",0.53874938426
"86",0.924860038147764
"87",0.710326340526811
"88",0.856575668926181
"89",0.847992428619435
"90",0.474819839416291
"91",0.11296154749556
"92",0.81247491968948
"93",0.875890139484853
"94",0.237669171189326
"95",0.436569870366678
"96",0.718562404355846
"97",0.458247171745797
"98",0.800355548012906
"99",0.782535304382179
"100",0.807607936622858
"101",0.218284852335509
"102",0.671969291512913
"103",0.337485889885359
"104",0.0302797678770269
"105",0.533208430295165
"106",0.344374099025608
"107",0.0265921098164723
"108",0.176149167850446
