"","LTF","NUGGC","SERPINA5","GCSAM","CCDC141","MUSK","BCL11A","KLRG1","RGS13","TOX","AICDA","RGS9","PSMA8","BCL11B","FGD2","FBP2","C22ORF15","PPP1R16B","CNR2","MADCAM1","DTHD1","NPHS1","KEL","GPR18","SLC1A2","SPIB","TCL1A","ZNF831","DNER","STAR","RTP5","MGAM2","CPA5","SLC13A2","FCAMR","BTN1A1","KBTBD8","LRMP","ANK1","KIR3DX1","IRF8","VPREB3","CR2","TXLNB","ZNF80","NLRP6","JAKMIP1","POU2F2","CD19","NLRP4","IL2","CCL19","CD38","SERPINA9","VNN2","RHOH","BLK","CD8A","LY9","CD40LG","CD79B","CD69","CD72","PLA2G2D","STAP1","PDCD1","SH2D1A","BFSP2","MEF2B","IL16","EXOC3L4","PLEKHG7","TNFRSF13C","ST8SIA1","THEMIS","GZMK","TRAT1","FCMR","GPR174","CD48","RUNX3","CHST8","HIST1H3J","FCRLA","ITK","DMRTA2","CXCR4","TESPA1","VRTN","CAPN14","TAGAP","C16ORF54","IL24","POU2AF1","LINC00282","FCRL4","CLEC17A","P2RY10","GZMM","TF","KLHL6","FCER2","C12ORF42","PAX5","BTLA","POU4F1","CYTIP","CCL4L2","FCRL3","HSF5","SCML4","CD247","HEPACAM","SLC12A3","SLC35G3","SP140","CD79A","IL17REL","IKZF1","CD3D","TNR","TNFRSF13B","PYHIN1","MYBL2","CCR7","FAM129C","KCNA3","CD28","LAG3","ABCB11","CRTAM","AIM2","SLAMF6","AC119396.1","LCK","TMEM156","ICOS","IL7R","PNOC","MS4A1","TIGIT","PTPRC","RASGRP2","NCR3","CARMIL2","CD3E","CXCR5","REG4","TLR10","JCHAIN","CD5","UBD","CD37","IDO1","TTC24","DDX4","TMEM95","BEND4","NLRP11","NPTX1","ADAMDEC1","AC010616.1","ALPK2","EOMES","TIMD4","FLT3","FCRL1","SIRPG","CTLA4","LTA","INSM1","CXCL13","CR1","ZPBP2","LGALS9B","P2RX2","ISL2","CLEC4C","FDCSP","RGS7","SORCS3","P2RX5","UGT2B17","SHISA8","FCRL5","FCRL2"
"TCGA.EM.A3ST.11A",1644,146,137,117,40,6,285,60,0,217,0,46,1,186,443,1,11,270,30,42,2,0,25,6,35,15,3,65,7,3,2,1,1,2,0,3,27,181,24,0,198,17,27,35,2,3,98,97,10,0,0,405,79,0,9,68,25,575,55,27,100,122,100,50,7,71,44,17,25,477,28,3,10,271,32,105,16,106,4,253,111,20,0,7,69,2,773,63,2,4,121,53,32,244,2,0,1,23,80,27,57,1,2,3,24,2,165,49,8,1,24,129,1,6,3,63,171,1,172,168,2,25,23,25,67,17,17,31,57,0,16,4,46,6,217,30,30,186,21,53,57,288,206,6,53,341,2,0,17,4886,110,28,205,171,1,2,0,1,3,1,15,1,1,25,34,28,1,21,21,4,0,39,2,0,0,0,3,2,1,0,7,13,1,0,46,5
"TCGA.EL.A3T1.11A",4179,833,442,462,230,16,343,124,198,897,186,211,5,567,765,9,8,2368,110,21,131,56,68,221,171,553,1156,495,21,34,21,27,21,1,431,37,370,1594,175,17,2826,248,4771,128,56,42,117,1380,841,34,2,2809,976,271,363,1029,495,2378,645,115,1609,961,469,894,360,510,649,55,88,2020,206,33,1099,379,227,847,241,1249,92,1527,1869,40,0,716,1118,7,7508,367,10,7,1608,922,177,2738,8,34,137,396,220,173,1437,359,10,1695,165,5,2109,422,832,17,103,726,3,24,1,681,5097,23,1622,713,17,297,293,1021,962,280,203,515,676,7,247,211,644,61,1249,301,485,2021,185,3165,1332,8004,688,78,494,2002,105,11,348,21982,1146,524,2548,1248,86,4,2,40,7,44,722,21,111,178,151,129,198,206,335,124,12,2353,327,6,9,11,8,10,2021,1,5,308,23,18,961,289
"TCGA.EM.A1CV.11A",530,348,30,245,33,4,371,79,0,349,0,100,1,374,453,0,7,353,73,16,3,2,12,7,31,1,1,27,10,7,0,3,5,1,1,5,108,160,24,1,81,21,34,32,7,2,57,55,0,1,0,6,94,0,6,21,7,704,7,7,20,74,150,0,0,34,10,8,10,199,4,0,4,52,32,30,3,94,6,74,50,11,0,0,51,2,574,51,0,1,69,21,27,42,3,0,0,6,23,25,21,3,2,1,6,2,76,3,4,3,12,42,3,2,0,23,6,2,105,23,5,1,10,17,16,4,9,4,21,0,13,3,34,9,61,2,4,163,4,2,12,213,85,0,23,124,0,0,2,6,15,1,87,49,1,0,0,1,2,32,0,0,0,13,13,1,2,9,10,0,9,3,3,0,0,1,0,0,0,0,1,8,0,1,0,0
"TCGA.EM.A1CW.11A",498,480,17,105,59,3,343,76,0,332,0,34,4,431,335,0,5,261,34,5,17,0,15,13,110,9,1,75,1,3,1,2,2,1,1,3,84,160,17,6,206,7,27,18,4,4,71,98,4,3,1,31,232,0,23,111,21,616,85,32,25,385,105,35,15,35,61,12,10,433,3,0,15,206,63,135,25,139,47,268,78,6,0,15,118,0,2198,151,0,1,208,61,46,215,0,0,21,35,12,20,103,0,2,1,33,0,285,119,27,6,15,92,1,2,0,84,217,1,229,142,3,16,63,10,30,4,25,47,39,1,40,7,94,12,166,49,42,150,17,30,156,1046,30,2,21,304,1,1,42,8079,65,39,156,441,5,0,0,1,0,0,6,1,1,52,15,10,2,49,56,2,0,47,2,0,1,0,1,0,0,1,0,3,1,0,42,6
"TCGA.EL.A3N3.11A",11105,2616,604,1715,301,49,1513,162,1780,2547,1060,584,7,938,1710,31,15,4539,686,73,139,553,244,850,980,1941,4483,717,67,64,61,86,61,3,2143,59,1433,7853,200,37,8278,1375,22392,259,61,43,75,3841,3185,493,4,3247,1876,1459,1510,2863,2160,1171,1285,332,5466,1428,1227,1554,1251,874,738,75,311,5061,338,146,3586,621,270,573,287,3885,234,3246,2155,49,15,3284,1386,33,12340,827,63,64,3593,1256,675,8638,7,158,658,952,137,135,6173,2122,40,7901,537,30,3794,447,1099,63,236,922,15,50,1,2051,12870,143,5300,894,97,366,332,2792,1652,1205,330,1014,502,47,217,1011,1749,396,2477,759,741,2686,441,21309,1970,21154,1949,281,1360,2404,338,0,1923,57231,1228,722,7893,790,139,12,3,181,61,51,1240,44,507,212,530,248,1731,438,469,350,25,4667,1367,23,0,21,13,26,5561,6,60,1025,0,75,1586,622
"TCGA.EL.A3MX.11A",1412,427,163,217,89,9,450,78,0,140,3,119,12,359,734,13,9,1537,101,55,23,1,26,11,79,7,4,113,1,13,0,5,3,4,0,11,86,281,98,2,298,31,32,92,4,4,122,124,6,0,0,30,319,0,11,31,31,181,34,21,50,92,177,9,0,34,21,8,39,570,13,0,9,161,16,47,11,271,7,105,146,66,4,1,47,4,427,85,0,6,118,52,68,200,2,0,0,11,30,50,119,7,1,3,17,3,88,20,17,4,10,84,8,5,0,24,15,6,171,47,5,1,26,34,86,8,34,31,46,1,8,4,51,15,117,8,10,119,3,16,46,465,222,3,37,175,1,0,7,65,97,2,323,133,2,1,1,1,2,10,9,3,6,25,42,7,3,13,9,13,1,0,5,0,2,0,1,0,0,1,9,3,0,0,2,3
"TCGA.EL.A3ZL.11A",2855,333,230,281,103,12,270,92,11,416,4,139,7,376,606,1,4,928,94,34,50,1,55,23,42,61,9,178,3,7,7,7,12,4,1,3,107,236,35,8,675,16,59,65,15,15,73,194,24,0,5,761,215,0,56,209,37,679,92,97,64,613,219,98,5,137,86,11,16,755,21,1,20,140,92,236,50,380,23,403,450,12,2,9,433,2,3316,190,2,4,312,98,75,293,12,0,6,51,42,59,468,2,1,13,57,0,565,270,95,6,95,215,3,17,3,133,111,5,604,194,3,10,79,55,178,10,21,78,222,1,80,33,328,23,272,57,76,1787,16,89,200,1766,199,21,94,773,4,1,23,1470,234,231,701,921,15,0,2,4,2,8,113,2,8,51,226,49,8,111,177,20,0,413,32,1,1,4,2,1,23,3,0,24,2,2,40,2
"TCGA.EL.A3ZR.11A",2718,1203,510,611,134,24,609,111,15,431,9,113,8,518,785,2,10,1088,25,59,18,4,42,15,86,59,4,137,23,9,12,9,23,4,3,7,159,396,82,2,1149,17,28,71,10,37,98,146,15,0,34,418,211,0,92,207,13,1167,140,120,80,1042,196,113,1,165,79,28,23,609,32,1,8,259,168,73,47,371,42,507,471,20,1,1,458,2,3665,230,0,7,592,144,73,153,5,0,2,63,61,53,442,2,3,3,63,1,745,328,15,6,128,234,3,8,4,105,37,16,609,234,12,1,74,44,193,15,89,74,238,2,81,23,241,28,376,17,92,3065,7,44,161,2020,292,9,113,863,0,0,21,462,197,128,719,488,6,2,2,3,1,88,680,4,10,46,26,33,8,52,135,13,21,15,49,1,1,0,1,6,16,0,1,6,2,0,8,0
"TCGA.EL.A3ZK.11A",9235,382,149,545,95,30,349,140,92,586,61,133,2,757,2151,3,21,1402,108,11,63,121,98,119,175,531,332,308,1,24,17,16,37,11,323,15,217,796,68,12,2223,130,3757,51,42,42,110,644,419,21,5,4630,670,68,219,488,327,2043,372,183,658,971,367,570,94,403,248,21,53,1818,129,4,356,244,252,236,142,1035,126,1270,1147,37,5,198,843,5,3517,460,12,15,1059,452,203,1035,39,21,69,226,220,73,1263,272,6,434,177,2,884,466,341,11,181,818,5,31,2,420,1118,99,1538,688,15,100,240,295,814,261,120,380,620,5,165,146,468,53,1414,100,345,1648,59,1859,907,5451,1289,71,590,2051,42,7,211,3017,800,647,2340,2156,73,5,4,23,1,26,526,17,194,126,272,80,267,317,519,113,11,1142,190,2,7,6,1,4,914,1,4,140,0,15,356,160
"TCGA.GE.A2C6.11A",5805,738,236,700,130,59,561,245,259,1053,188,168,15,1205,1815,7,12,2618,395,169,144,162,117,230,126,516,1567,1248,67,37,34,21,27,5,370,40,465,1661,272,10,3772,413,6435,103,50,80,201,1489,1148,44,7,6718,798,205,345,1570,1010,1990,793,290,2081,3033,777,833,340,974,616,55,73,3267,121,15,1116,346,295,1597,333,3234,184,3383,1654,79,3,743,1837,6,15081,665,23,21,2025,845,565,3896,12,47,148,420,190,106,2825,468,37,1646,686,9,2565,250,1137,42,436,1418,5,50,4,857,5254,56,3697,1418,97,171,368,818,1867,391,244,717,686,33,298,377,2313,280,2107,277,433,7339,184,4880,1364,9509,1885,146,687,4189,78,10,525,19947,1549,1086,3865,2720,61,3,1,100,7,94,1323,28,126,416,362,455,635,775,787,119,31,6973,332,4,1,11,4,4,1977,5,1,798,23,15,1067,265
