"","FNDC4","ABCC11","ALDH3B2","EDIL3","CHST6","HOXD1","HP","GCKR","ENC1","ACOT12","FUT2","PLA2G2C","SLC6A14","ALPL","DGAT2L6","CNGA3","AOC1","ADRA2C","GDNF","PASK","SRPX2","PLPP4","TCN1","SLC28A3","CD177","STMN2","CA12","IL37","UGT3A2","TNNI3","TMEM255A","WDR49","CALB2","QRFPR","PRPH","CHGB","PKP2","DMBT1","BPIFB1","ABCC12","MTTP","PLEKHS1","ZFR2","C6ORF141","ATP12A","PROK1","FAM196A","HDC","ADH4","SUSD2","COL6A5","SEC14L4","GABRQ","CSMD2","IL31RA","SLC10A4","CORIN","INA","SCN8A","HGNC:18790","IZUMO1R","TGM5","RHCG","PAPPA2","CRYM","SERPINI2","ROS1","PCP4L1","PTH2R","F5","FADS6","FAM26D","NOTO","C6ORF10","KCNA4"
"TCGA.FY.A3R9.01A",217,42,11,712,89,4,53,3,478,0,66,1,5,914,0,8,4,71,0,833,52,5,0,24,23,1,11815,0,0,1,13,1,1,31,8,98,23,3,0,1,3,0,15,4,0,12,8,1,0,755,2,33,13,236,0,49,26,13,37,17,2,2,1,87,4,0,0,61,1,16,2,11,1,1,1
"TCGA.FY.A3YR.01A",507,15,16,1019,113,5,10,6,924,4,120,8,56,1177,8,13,55,128,18,639,351,184,114,64,74,104,322,11,2,3,64,0,1,6,37,848,264,7,7,1,2,23,2,9,8,8,12,8,0,1183,7,0,18,61,2,18,200,68,20,81,1,4,1,16,4,0,2,21,2,238,0,0,1,0,1
"TCGA.E8.A418.01A",2497,144,97,222,66,113,66,13,623,2,84,17,146,1049,21,26,67,312,2,10428,55,1,11,213,90,5,2608,9,5,1,304,2,4,3,122,9604,285,5,5,7,2,7,10,39,9,27,15,0,0,1405,0,124,9,13,4,8,15,3,30,44,0,13,1,15,5,0,0,60,6,50,1,1,1,1,0
"TCGA.J8.A4HW.01A",4511,12,6,796,18,3,26,59,1051,0,188,2,7,848,3,40,61,120,15,855,80,6,1,13,17,35,90,1,0,0,16,1,6,30,9,26,274,4,10,0,0,18,7,3,6,4,30,6,0,1221,2,11,15,39,92,74,61,6,163,243,15,1,0,32,6,0,2,32,12,10330,1,1,2,4,0
"TCGA.DJ.A3VI.01A",1496,42,67,314,21,11,0,23,433,0,563,16,153,476,37,17,11,81,1,1072,49,5,0,44,33,55,548,18,8,2,66,0,3,71,15,135,841,2,7,0,3,21,13,6,11,5,30,6,1,907,0,10,13,12,2,39,17,12,63,37,1,2,1,37,4,0,3,23,3,226,0,0,2,1,0
"TCGA.DJ.A3VJ.01A",6943,37,11,1104,84,15,111,110,2361,47,177,6,265,914,32,42,37,234,2,5986,362,23,186,64,60,491,1288,0,16,9,115,2,5,89,24,103,547,13,24,0,7,165,6,75,40,7,55,27,0,1574,15,43,5,33,37,24,56,47,119,374,2,3,3,16,8,1,3,15,8,1189,1,1,2,0,0
"TCGA.FY.A40L.01A",1222,27,32,1195,40,25,8,1,1177,0,244,4,528,1053,17,33,103,69,9,1009,337,88,32,337,25,160,4081,8,4,5,114,4,11,6,9,1146,351,15,8,1,1,10,50,17,5,3,13,5,0,2999,5,0,17,34,4,11,143,57,98,30,1,3,2,23,3,1,1,17,6,401,1,0,2,2,0
"TCGA.EM.A3ST.01A",4376,69,10,668,47,3,39,71,491,20,104,11,1,891,3,20,566,431,0,709,15,1,0,6,73,0,12172,1,315,17,52,2,4,15,5,6,9,2,0,3,3,0,11,1,88,9,11,4,0,1080,0,20,80,46,2,21,15,2,403,1,1,4,2,6,5,0,0,240,1,12,15,6,1,1,0
"TCGA.DJ.A3V7.01A",1847,79,23,551,15,17,21,18,553,0,156,8,120,1047,13,7,253,183,4,1646,23,9,7,322,52,34,5339,11,4,8,89,3,11,42,47,303,142,8,2,0,6,5,120,2,10,11,16,16,2,2629,0,6,117,26,1,12,15,21,34,23,3,4,1,8,6,1,1,7,1,115,1,0,3,5,1
"TCGA.IM.A41Z.01A",341,111,4,175,9,2,13,2,111,1,17,8,5,437,1,52,12,13,1,3232,25,0,1,20,3,2,2475,0,4,1,113,1,76,11,60,2729,49,0,3,1,0,1,111,6,11,1,8,9,3,1275,6,0,3,30,2,11,0,8,39,8,0,0,2,3,3,0,0,411,2,28,3,2,1,2,1
