"","PID1","ABCA9","GRIA1","MMRN1","GPC3","ACKR2","NRXN1","MASP1","RELN","LYVE1","KLHL4","IGSF10","VSTM2A","FGF10","GLI1","DPT","TFPI","WNT11","F10","MYOC","ADH1C","SUCNR1","PIK3C2G","DCDC2C","NLGN3","C1QTNF7","TNNT3","FBLN5","FGL2","CFD","CHRDL1","SLC1A7","SLC17A7","FOXD3","ABCA10","FLRT2","DBX2","ABCA6","GDF10","PCSK6","BRINP3","PGM5","ADH1B","VIT","MYOZ3","NTN1","RSPO3","SVEP1","ART4","FAM180B","OSR1","AKNAD1","CHODL","FMO2","PODN","PLD5","CCBE1","GFRA1","SCARA5","RERGL","LRRN4CL","ZP2","HHIP","TNXB","KCNIP1","APOD","CYP8B1","STK32B","NDNF","KLHL33","FBLN1","SV2B","TMEM132C","ROBO3","PHF24","DES","TSPAN11","MYZAP","ANGPTL5","MFAP4","FAM135B","DAB1","DIO3","CHST9","MRAP2","PCOLCE2","CPED1","OTC","FLNC","DCN","ACTN3","C6","MAB21L1","HGF","NPY5R","FAM180A","GFRA3","OGN","ACSM2A","SOX21","CCL21","SCN3A","OLFML1","ALDH1A2","SRPX","HSPB6","FXYD1","L1TD1","TBX1","GSTM5","RHAG","LMX1A","OSTN","TSPAN8","ASPA","PI16","ABCA8","FMO1","TNFAIP8L3","HMGCLL1","LAMA2","BPI","FAM205C","IL33","EFNA5","PKDCC","PTGFR","MEOX2","BHLHE22","LGI1","CXCL12","GAS1","FGF7","PLCXD3","PRRX1","TMEM119","C14ORF180","KCND2","PDGFRA","FBLN2","LYPD6","COLEC12","NAV3","OMD","HTR2A","ENPP6","CNTN1","HAND2","MYH11","GFPT2","ZIC2","CMTM5","TSKS","C7","BMP5","MAB21L2","ZNF488","TRHDE","CDH19","SLC30A10","RGS7BP","OXGR1","KIAA1755","GLYATL2","GCOM1","C1S","GSC","OSR2","XPNPEP2"
"TCGA.EM.A2P1.06A",117,186,0,254,27,16,3,5,6,161,7,18,0,15,23,183,490,7,49,13,6,171,0,0,37,122,7,1337,2585,318,257,9,49,0,50,308,0,297,1,37,0,208,423,18,24,43,106,166,236,5,4,2,26,308,495,5,2,213,42,7,7,0,2,609,16,943,7,55,30,5,2878,43,37,105,20,15,136,47,11,533,5,6,21,0,17,65,382,0,90,8569,5,23,18,179,1,67,1,133,0,0,674,47,277,53,194,80,20,10,9,47,0,0,0,28,16,454,475,31,123,13,812,1,0,469,94,128,12,150,21,0,2631,306,270,323,2299,945,6,23,1573,1575,6,1224,87,222,5,21,79,2,826,433,0,2,6,5132,0,0,0,21,111,2,4,7,107,5,0,7637,8,40,32
"TCGA.EM.A3SU.06A",261,79,0,529,71,53,30,30,44,443,60,78,2,6,55,907,1103,34,84,34,9,484,1,0,52,52,71,1793,2515,1434,596,17,40,2,71,735,0,356,21,85,1,752,1289,89,31,310,178,829,384,15,71,1,34,1188,437,37,18,564,447,20,30,2,7,1400,5,2653,3,177,33,18,3048,95,23,471,63,110,541,71,18,1402,3,11,71,0,27,189,253,4,243,9667,4,110,18,215,20,21,5,154,3,0,22333,111,355,78,692,335,30,46,106,207,0,1,11,33,52,319,611,42,191,26,738,13,0,1137,398,362,90,274,47,2,9478,426,259,285,1838,2612,0,28,1316,3288,7,1487,74,95,7,37,79,1,1667,431,0,5,42,12284,9,0,6,3,13,1,11,6,301,3,25,12176,10,60,31
"TCGA.J8.A3YH.06A",169,55,2,293,78,40,3,16,15,85,16,26,0,0,23,203,548,30,122,68,2,333,0,1,53,131,30,2422,1140,1801,442,23,64,0,68,597,0,133,16,52,2,366,332,3,16,60,101,405,190,2,16,4,61,345,600,20,10,429,16,120,2,0,7,571,53,740,2,78,30,2,1046,15,17,207,20,197,151,49,26,1113,0,5,6,2,10,27,274,0,142,5333,2,31,3,144,11,35,3,39,1,1,5682,80,400,21,385,374,39,30,42,63,0,0,0,21,97,35,1519,15,84,20,343,9,0,709,44,205,13,315,28,2,2758,122,124,165,1631,860,0,1,457,3233,3,398,37,55,0,30,49,15,3295,142,1,15,4,4673,5,8,3,10,0,1,24,16,111,4,3,3947,21,33,8
"TCGA.DJ.A13X.01A",278,151,24,407,617,64,0,47,196,139,42,158,3,6,59,1118,748,130,161,1537,15,862,0,3,25,217,31,2540,1698,702,1044,44,100,0,67,1180,12,225,217,63,71,737,933,150,25,97,31,1050,200,108,129,2,66,502,1108,17,27,262,574,37,44,1,15,1541,10,1283,1,75,9,8,5042,85,23,110,40,1125,286,39,9,2350,16,17,8,1,7,49,601,5,507,9358,5,11,18,445,46,88,2,620,4,0,438,257,398,119,325,884,27,33,67,113,0,2,7,49,80,876,3453,87,148,23,793,5,0,497,50,160,8,277,30,6,2319,297,286,131,1409,1168,9,25,471,4023,5,452,123,281,8,6,97,136,5075,140,0,1,9,1612,1,404,11,8,2,0,67,12,61,2,3,4550,15,153,28
"TCGA.MK.A84Z.01A",73,74,1,1240,175,40,0,24,87,114,26,27,0,2,13,262,740,37,78,7,5,250,1,0,28,103,11,1285,583,495,270,12,47,2,84,462,0,87,46,42,30,490,400,64,15,111,26,120,94,20,47,4,18,95,300,13,7,60,144,64,28,1,11,606,4,297,7,32,11,3,1461,24,5,133,17,606,78,25,17,1102,1,10,2,1,8,121,328,0,226,3457,2,0,10,92,23,17,0,475,4,5,447,207,304,466,305,382,21,4,178,128,0,3,0,9,87,209,1268,24,68,24,209,1,2,458,46,148,0,271,2,6,1519,177,575,217,788,270,5,2,122,1828,1,84,25,94,2,1,8,55,6099,30,0,3,4,438,6,113,4,1,1,2,27,10,33,0,0,1372,23,47,21
"TCGA.E8.A2EA.01A",87,101,0,445,126,63,0,20,144,205,31,17,2,8,31,881,592,64,79,44,7,341,0,0,23,80,21,1186,2612,306,540,25,24,1,44,450,9,217,71,50,34,345,86,42,34,268,89,426,53,52,30,5,24,161,578,1,15,64,228,43,74,0,8,490,5,1934,3,39,13,1,3657,40,3,232,13,211,253,71,21,1080,2,7,21,0,15,87,200,1,255,12508,10,15,28,183,4,71,4,247,2,8,4573,7,350,50,389,241,21,55,49,122,0,0,0,49,37,401,282,68,130,8,472,25,0,312,281,271,15,156,60,6,2977,151,206,20,2632,628,0,40,718,3655,4,717,94,283,10,11,95,60,1168,624,7,2,25,1404,23,203,5,5,3,1,3,16,201,7,3,13521,21,87,46
"TCGA.EM.A1YA.01A",80,55,10,930,113,64,3,21,27,89,15,35,0,5,6,290,510,148,168,1,21,716,1,0,20,27,23,1594,503,549,148,8,50,1,51,832,1,110,5,81,5,1106,60,15,18,103,23,332,52,5,42,1,47,194,267,10,3,315,12,25,10,0,6,1028,0,359,3,100,37,5,924,79,21,107,15,80,69,49,10,259,2,4,0,2,8,139,236,0,438,584,2,0,40,265,2,46,3,12,1,1,101,5,325,82,221,533,17,2,42,44,1,3,1,13,115,73,698,61,103,15,3325,4,0,1582,333,223,0,282,4,1,2160,126,85,56,1177,370,28,7,66,2211,9,64,49,31,8,1,391,3,1970,655,0,4,2,126,0,28,18,4,1,1,20,3,47,2,7,742,20,65,7
"TCGA.DE.A4MC.01A",84,43,1,100,5,40,1,31,17,168,12,27,0,12,8,75,486,7,11,0,1,437,1,0,18,28,12,881,1574,396,3,10,3,0,37,74,0,175,7,17,3,123,0,0,13,35,27,225,18,1,1,4,23,59,63,2,10,5,2,0,5,0,6,704,1,119,0,40,16,1,701,28,2,71,16,34,103,32,3,40,3,3,1,0,3,23,229,0,85,2899,1,1,2,211,1,13,7,60,1,2,3,1,181,124,88,134,1,7,25,13,0,0,0,4,18,44,90,13,55,6,229,12,0,184,236,40,5,47,10,0,753,82,118,23,914,227,0,6,134,1312,3,193,53,47,5,16,21,6,178,248,1,0,4,341,0,15,1,7,0,1,5,3,74,4,2,2712,4,17,10
"TCGA.EL.A3ZR.01A",42,107,0,69,40,42,0,43,26,92,27,23,0,0,3,57,319,30,47,0,5,117,0,0,28,92,1,1275,312,581,47,5,21,1,173,863,0,81,8,49,39,234,4,15,2,95,12,55,24,1,12,2,15,12,99,3,2,40,1,40,13,0,13,462,0,28,6,30,5,0,281,15,1,184,1,84,142,15,1,213,1,5,0,1,3,6,188,0,46,942,3,0,12,126,7,9,3,52,0,0,17,31,280,10,231,414,5,1,49,26,0,0,1,15,111,31,3201,144,17,12,61,2,0,172,23,114,2,142,6,0,554,137,30,23,528,88,1,4,47,730,0,21,12,15,2,15,5,119,869,13,0,0,3,20,0,175,4,0,0,3,5,4,7,2,2,442,43,15,2
"TCGA.E3.A3DY.01A",64,59,0,85,11,42,3,6,16,94,4,21,1,1,10,135,355,24,35,52,4,314,0,0,21,53,3,981,1554,337,50,3,21,0,42,510,4,110,40,69,17,690,81,1,21,71,15,140,76,1,23,1,30,169,203,5,15,61,13,6,3,0,5,947,81,644,2,23,42,0,695,9,1,130,34,17,80,28,7,904,2,21,2,0,1,31,265,1,87,2527,2,12,3,156,1,12,6,64,0,0,51,60,168,179,194,88,27,4,52,15,0,0,0,4,12,65,990,4,103,13,351,6,0,341,85,37,0,98,8,0,3021,79,110,82,811,191,1,6,1038,1586,3,481,43,61,3,9,3,10,495,177,0,4,5,4253,23,57,4,1,12,0,8,76,39,1,2,2292,1,16,28
"TCGA.EM.A4FN.01A",24,20,0,49,21,15,2,0,9,75,12,5,0,0,7,10,406,11,24,12,1,203,0,0,9,33,2,1383,899,633,6,2,7,0,40,303,0,42,4,42,1,183,10,0,15,23,15,44,25,0,12,4,44,34,171,0,15,12,3,1,9,0,1,581,2,285,6,34,12,0,523,3,0,159,39,31,103,52,0,346,5,3,0,0,5,5,76,0,50,915,3,1,4,87,1,20,9,15,0,1,42,20,177,35,169,100,15,13,27,17,0,2,0,2,42,75,175,20,84,9,127,10,0,206,71,94,0,63,1,0,2271,64,23,55,703,144,0,2,166,1529,1,400,21,13,8,3,12,9,773,168,0,3,8,819,17,33,16,4,10,0,0,4,63,1,0,1219,7,16,8
"TCGA.EM.A3SZ.01A",30,23,10,262,7,21,2,3,6,37,3,4,2,1,1,69,206,11,15,1,0,49,0,0,16,9,2,533,570,160,25,2,15,0,25,76,0,40,4,18,2,92,5,0,15,46,49,43,12,1,11,0,21,111,81,0,2,98,1,1,3,0,1,272,1,245,3,17,7,2,483,5,0,206,13,20,53,47,1,39,1,3,1,1,3,11,74,0,49,1475,1,0,7,89,2,2,3,1,1,0,11,3,40,11,139,21,7,2,12,6,0,1,15,2,3,7,106,4,23,7,118,4,0,333,50,32,0,11,10,1,1620,39,61,15,289,57,0,9,158,838,4,250,26,3,10,15,7,5,387,165,0,1,6,1168,0,15,3,8,0,0,2,9,49,0,2,1941,1,5,10
"TCGA.FY.A3R6.01A",229,117,1,222,177,56,11,26,169,103,21,51,0,5,52,1169,481,87,148,47,2,312,0,1,42,149,13,1739,3238,729,698,17,53,2,40,1060,7,156,181,56,28,432,84,52,28,126,136,567,139,24,134,1,24,270,735,8,6,225,205,63,39,0,113,778,15,779,4,37,46,4,4941,51,33,105,27,31,243,37,32,1249,4,6,20,1,10,131,343,2,143,8930,0,44,7,298,5,21,4,511,1,1,4268,42,322,33,800,168,20,6,89,121,0,1,2,114,71,1197,866,65,100,18,427,6,0,1023,126,222,11,198,73,2,5797,353,312,122,1801,769,1,8,555,2595,2,647,64,351,2,30,97,55,1158,200,0,2,10,7494,33,63,6,2,6,11,11,3,122,9,9,10011,34,40,35
"TCGA.EM.A3FN.01A",42,28,0,539,23,90,1,10,7,311,12,8,0,1,4,131,616,259,68,0,9,406,1,2,21,6,4,2710,549,636,39,5,16,0,23,184,0,40,1157,31,23,156,47,7,6,23,13,30,21,8,8,3,18,37,65,6,5,55,31,232,7,0,3,103,0,74,23,18,4,0,1202,0,13,129,5,105,12,30,1,166,0,0,1,0,1,165,94,1,37,447,1,0,16,73,3,4,0,108,3,2,31,1,236,131,348,370,18,2,39,13,0,0,0,23,98,146,172,82,31,0,59,6,0,267,4,261,3,364,0,0,1177,411,110,15,548,84,2,1,30,712,2,149,20,9,3,5,1,20,882,229,0,9,3,85,0,47,6,0,0,2,5,0,15,0,0,166,78,7,15
"TCGA.EM.A2OV.01A",55,15,1,587,134,86,1,16,551,51,11,9,0,0,3,15,561,55,124,2,9,105,3,0,11,46,8,613,462,262,31,4,26,3,18,681,0,42,3,194,6,613,17,9,13,196,9,74,43,5,16,1,16,353,37,7,205,512,6,40,21,7,7,885,21,438,10,79,33,4,422,245,17,98,6,10,239,59,3,30,1,16,23,1,7,8,127,0,153,797,1,0,7,75,8,7,1,7,0,8,1570,346,126,59,69,49,5,5,134,60,0,3,0,94,39,40,153,9,26,13,148,0,1,2072,88,69,3,127,1,0,3401,78,10,40,829,75,33,3,8,1068,23,159,65,18,4,12,37,8,818,165,4,1,5,101,6,47,2,0,1,2,16,4,28,2,7,244,30,25,5
"TCGA.E8.A44M.01A",163,207,0,312,114,49,9,35,265,169,23,98,0,11,49,1212,637,39,43,30,12,525,1,0,53,51,30,1800,3067,535,1289,12,65,2,197,1449,4,223,35,87,30,411,209,21,28,65,111,617,75,23,74,2,51,356,429,4,10,318,68,42,31,1,37,1599,9,833,1,47,18,26,2716,39,63,306,30,46,194,39,16,761,1,6,32,0,5,84,315,0,146,5966,4,76,25,328,9,17,2,217,1,3,5234,55,418,66,1780,175,11,37,94,139,0,0,0,30,35,298,588,85,87,24,840,6,0,584,133,357,23,149,42,4,5666,158,220,146,2074,647,2,13,625,2068,2,711,55,222,2,21,61,27,1331,383,1,0,27,7386,40,193,3,1,0,2,16,10,203,1,1,17536,13,40,28
"TCGA.DJ.A13L.01A",133,160,3,104,53,35,6,27,78,71,39,49,1,21,59,885,781,69,101,24,7,505,0,0,32,168,18,2141,4030,990,434,34,49,0,74,484,0,438,57,47,35,454,74,20,65,136,169,422,55,12,59,2,32,471,1012,1,15,168,171,33,47,0,15,571,7,3079,3,88,51,2,5194,20,24,649,15,52,348,47,18,1867,8,8,76,0,11,715,416,0,184,24550,3,33,42,457,2,63,9,501,0,0,778,24,649,55,670,293,18,4,43,31,0,4,0,63,40,318,420,37,151,13,1007,4,0,890,85,215,21,247,113,3,8222,416,537,197,4845,1690,0,56,1257,5300,1,2481,133,783,15,35,121,61,1023,1151,0,0,23,7464,1,222,3,108,0,0,15,44,278,3,4,16934,28,122,92
"TCGA.BJ.A2NA.01A",121,148,3,475,105,76,53,49,317,272,23,40,6,15,53,280,740,53,98,172,10,584,1,0,31,146,13,1605,1764,771,535,7,47,4,89,1200,1,177,95,51,28,783,443,56,30,295,89,259,84,46,156,4,30,271,530,2,4,86,737,207,88,0,18,2058,23,1614,8,37,89,11,3088,24,26,127,39,811,389,79,30,1041,8,9,15,1,21,133,497,1,644,7503,1,37,18,193,16,40,33,460,4,3,1706,126,285,151,501,295,33,15,55,113,1,5,0,92,64,452,693,18,199,3,715,7,1,759,85,241,23,257,23,9,6755,247,153,229,1721,393,6,20,594,3984,7,635,60,185,24,7,26,37,10132,330,0,10,7,4968,15,143,15,13,150,2,42,15,129,9,8,4198,13,51,21
"TCGA.E3.A3E1.01A",84,59,1,97,128,65,3,11,133,159,15,61,1,11,13,562,584,47,42,52,9,409,0,0,21,60,79,1375,1271,1025,314,7,47,0,18,811,1,95,47,35,34,437,191,33,20,57,52,434,61,32,47,2,113,293,283,0,17,281,165,27,27,1,4,696,10,871,5,40,17,3,1908,18,20,211,13,126,211,63,8,602,1,8,21,0,1,52,194,17,150,4611,2,10,3,181,5,26,2,171,0,2,506,32,240,49,523,366,11,15,18,66,0,0,2,23,61,283,411,43,88,21,506,4,2,400,124,75,5,143,33,2,2585,220,219,101,847,488,0,16,340,1908,1,653,24,84,7,6,37,52,1173,165,0,2,12,2951,61,103,7,1,3,4,7,6,42,0,2,3028,12,30,12
"TCGA.EM.A2CR.01A",40,7,2,43,6,10,3,8,3,185,27,0,0,0,44,0,351,56,60,37,0,53,0,0,7,12,23,571,396,803,0,2,50,1,46,422,0,20,18,27,1,220,1,0,30,341,2,197,4,139,9,4,1,0,13,5,6,165,3,17,2,2,0,110,5,257,9,55,0,0,833,0,4,151,23,10,209,30,21,6744,1,6,0,1,31,13,400,0,271,59,8,0,8,20,11,5,49,0,7,2,5,20,166,37,105,1436,78,16,108,567,2,1,0,8,74,0,140,47,49,21,15,0,0,25,156,81,0,163,5,5,1012,9,8,1,535,220,0,0,15,106,3,134,10,0,2,1,30,0,3754,73,0,15,21,3,55,43,4,4,0,4,1,6,1,0,0,47,43,5,9
"TCGA.DE.A3KN.01A",113,146,0,20,57,35,6,25,66,103,25,100,1,8,13,146,1266,73,151,39,7,392,0,0,42,198,25,1115,973,613,343,8,74,0,159,778,0,206,34,68,27,666,107,12,26,73,28,265,47,7,190,4,24,330,384,6,1,90,156,64,30,0,146,1460,12,512,7,23,196,15,1693,3,18,549,7,315,146,30,15,523,3,8,1,1,8,59,450,0,144,5366,6,17,20,153,9,37,3,189,4,0,27,248,389,49,455,338,35,3,68,211,0,1,0,26,105,257,635,15,108,34,644,4,0,405,186,215,4,278,13,1,5380,189,121,131,1450,379,3,6,353,1755,0,304,37,92,1,20,16,0,3963,228,1,3,5,5282,71,140,2,5,53,7,11,4,78,15,3,2025,16,51,34
"TCGA.FY.A3R9.01A",160,142,2,358,305,35,3,68,100,240,27,85,0,5,18,827,518,82,181,56,13,505,0,1,16,166,21,1484,1649,438,1031,16,71,0,76,346,3,203,107,79,35,684,499,63,4,118,60,432,126,65,55,1,12,561,523,16,8,234,359,111,20,0,9,773,4,1023,3,31,39,5,2804,23,8,175,10,485,92,51,10,1040,3,9,8,0,5,111,341,3,177,6586,3,11,37,232,27,46,2,393,0,2,534,298,220,37,327,413,13,21,25,163,0,4,4,27,94,422,666,39,84,25,431,1,0,686,322,171,2,320,21,1,3036,149,196,213,1158,523,4,5,205,2521,3,178,42,211,2,8,49,63,1883,209,0,6,11,1466,73,88,6,3,4,3,23,2,47,3,6,2267,10,74,20
"TCGA.FY.A3YR.01A",50,55,1,15,3,34,10,4,6,76,9,15,0,33,6,312,229,20,16,1,2,205,2,0,27,92,6,1202,758,257,63,9,12,0,42,300,0,95,9,17,3,156,16,5,23,156,49,137,8,1,15,2,20,103,636,0,5,144,15,5,23,1,8,606,5,434,2,17,40,1,5339,3,0,105,10,34,223,37,4,771,1,3,15,2,4,28,146,0,111,12149,1,4,15,126,1,42,1,221,0,3,5,4,315,15,222,56,15,4,44,63,0,0,0,8,46,42,156,12,46,0,500,6,1,175,110,74,3,73,25,2,3376,247,169,51,2521,674,0,47,452,3734,7,698,49,609,4,9,240,24,553,413,1,1,4,884,0,55,7,3,3,0,3,3,64,3,5,5659,8,40,43
"TCGA.E8.A418.01A",15,20,0,507,68,24,1,0,15,158,8,8,1,3,3,1,198,4,13,5,0,172,0,0,6,8,1,1011,781,909,32,4,6,1,63,135,0,40,0,26,0,64,5,0,16,99,20,24,4,26,20,3,43,3,47,2,5,3,8,0,6,0,7,351,1,1628,4,40,9,1,153,7,0,98,34,21,50,61,1,82,4,8,0,1,5,21,71,0,119,275,1,3,2,26,1,3,7,1,0,1,3,3,44,17,122,30,1,1,15,11,0,0,0,6,9,7,259,2,32,4,92,5,0,364,160,15,1,12,17,0,362,33,12,7,151,42,0,11,25,445,2,118,11,0,2,4,11,2,356,75,0,0,8,80,0,6,3,0,0,2,1,2,17,2,6,894,0,5,1
"TCGA.J8.A4HW.01A",20,42,2,80,61,55,1,3,30,75,49,25,0,0,31,55,398,193,92,3,12,229,1,2,27,51,98,2546,549,131,74,10,26,0,46,584,0,43,7,69,2,485,84,9,12,124,37,64,57,1,49,1,25,113,158,7,8,46,3,30,1,1,7,2769,4,4475,3,44,6,1,942,5,39,229,5,82,510,148,3,146,3,2,0,0,7,64,120,0,425,2142,4,0,7,39,3,33,2,13,0,1,113,26,153,51,156,95,9,5,30,27,0,2,0,196,40,111,425,7,40,15,239,2,0,628,98,146,2,74,1,8,2281,239,577,103,763,371,0,4,283,2459,12,914,66,18,2,4,1,7,1927,94,0,2,8,1990,7,95,13,13,18,4,18,30,85,3,17,1129,5,21,5
"TCGA.DJ.A3VI.01A",49,30,0,73,28,40,3,1,27,94,2,28,1,0,10,98,486,17,30,89,0,66,0,0,23,25,3,1349,416,533,87,5,12,0,69,293,3,42,6,39,1,156,20,0,42,60,26,80,21,1,18,2,73,122,99,1,10,63,5,11,4,0,8,396,1,103,5,11,6,0,226,6,3,88,9,43,51,57,3,121,1,6,0,0,1,8,59,1,82,1076,0,3,1,60,1,8,2,11,0,1,175,11,60,7,171,234,8,5,53,25,0,0,0,5,18,88,560,7,37,11,105,0,0,337,177,65,3,25,5,1,1519,97,47,47,327,150,0,1,86,1441,9,97,12,6,4,8,15,8,808,137,0,1,1,715,11,50,3,1,0,0,3,3,37,0,8,1071,2,6,3
"TCGA.DJ.A3VJ.01A",115,106,1,220,150,80,0,16,37,272,39,27,0,4,49,534,811,80,55,16,8,472,0,1,20,68,30,3096,1560,796,600,20,47,0,63,751,3,186,55,64,16,486,103,15,30,74,103,355,165,37,74,3,31,222,531,5,4,53,148,85,34,1,4,1285,3,11153,8,69,27,4,1866,18,5,319,27,47,223,87,15,798,0,9,21,1,8,90,211,0,215,7669,6,10,6,168,5,43,8,262,0,15,1345,49,286,56,588,234,32,1,69,61,0,0,2,25,88,359,581,43,203,16,724,12,0,967,177,234,6,213,26,1,4587,201,162,84,1625,613,1,7,586,3856,13,614,74,221,3,8,16,59,2431,230,1,0,18,3558,15,160,2,1,23,3,8,3,165,7,13,5030,33,40,6
"TCGA.FY.A40L.01A",47,111,0,81,39,42,1,3,37,118,8,6,1,12,25,151,412,35,40,10,5,200,0,0,16,146,23,1291,1799,215,150,15,27,0,80,364,0,253,32,35,16,290,47,13,23,67,39,225,35,6,17,3,33,366,519,1,13,118,47,23,17,1,12,949,4,2192,6,30,37,4,3426,10,7,184,15,61,211,30,5,631,1,11,16,0,3,15,230,1,130,11142,6,10,11,197,3,47,6,433,0,0,259,39,327,69,243,119,13,21,15,87,0,1,0,23,37,194,900,32,71,7,540,0,0,270,84,117,4,111,21,1,3292,177,197,100,2129,797,0,23,511,3253,2,709,63,445,4,5,118,20,997,418,1,1,6,2081,4,94,8,5,9,1,6,21,119,2,3,5181,18,52,28
"TCGA.EM.A3ST.01A",15,115,2,359,6,4,4,3,11,94,7,3,0,0,7,1,351,35,33,2,2,250,0,1,21,8,1,600,161,400,2,13,2,0,201,1399,0,63,0,21,15,55,3,2,21,67,7,30,5,3,15,1,15,1,24,21,3,21,0,37,3,0,4,226,4,17,0,23,5,0,194,1,0,298,3,2,80,32,4,24,3,1,0,0,4,6,35,0,9,40,3,0,4,23,1,1,11,0,0,0,2,0,122,271,364,17,1,10,12,28,0,11,7,0,51,219,146,17,21,0,11,0,0,207,13,322,0,74,1,6,197,30,6,21,177,44,3,3,5,713,18,5,2,0,0,3,5,0,163,57,0,1,4,23,0,37,10,0,0,0,2,1,2,0,16,101,37,6,8
"TCGA.DJ.A3V7.01A",28,23,0,73,12,39,0,5,5,47,1,11,0,0,3,7,231,2,21,5,0,228,0,0,18,40,1,1185,628,450,42,10,17,0,68,133,0,47,4,30,2,161,1,1,25,34,17,51,15,2,16,2,74,13,35,0,3,1,1,2,7,0,5,501,0,175,1,21,7,2,236,5,0,206,21,21,73,80,3,203,4,12,0,0,6,15,103,0,28,765,0,4,5,79,2,8,6,1,0,0,4,15,105,30,110,47,6,5,27,30,0,0,0,16,15,7,1093,21,59,7,107,5,0,320,46,60,0,81,9,1,747,43,10,37,261,40,0,4,42,1260,0,200,6,0,6,5,0,61,660,106,0,1,18,104,0,69,1,1,2,0,1,7,28,2,8,1321,11,5,7
"TCGA.IM.A41Z.01A",30,26,0,47,12,10,1,15,3,18,1,7,0,0,2,5,240,11,28,0,6,277,0,0,10,23,1,281,882,493,15,2,18,0,25,257,0,53,3,13,4,247,15,6,6,40,2,121,16,1,0,0,1,84,40,1,6,74,0,21,1,0,0,529,0,101,0,47,8,7,98,8,4,111,2,3,18,16,4,12,6,4,0,0,2,21,105,0,61,510,2,0,6,98,3,1,2,4,1,2,44,44,120,13,82,78,5,1,21,39,0,0,0,9,24,7,682,59,31,8,66,0,0,92,20,61,0,88,3,0,1012,27,32,9,290,97,1,0,15,484,1,67,20,4,1,4,5,40,98,53,0,1,1,44,0,35,2,4,0,3,1,7,2,0,3,901,8,5,2
"TCGA.BJ.A45D.01A",55,23,0,40,28,37,0,5,20,159,9,8,0,0,7,34,473,124,40,2,13,265,0,0,21,31,55,1594,465,1833,99,9,32,0,53,404,1,32,6,60,32,721,6,16,30,59,13,144,13,2,10,3,89,76,225,7,8,282,2,199,7,0,3,647,1,281,7,60,15,0,778,6,18,412,5,94,113,39,10,86,1,3,7,1,10,98,312,0,239,228,1,1,23,74,0,21,4,37,1,0,16,8,257,75,143,409,32,13,171,471,1,0,0,34,188,348,1885,98,118,9,47,1,0,201,42,212,0,142,1,1,3412,126,21,98,604,609,1,1,42,2083,1,278,33,12,3,4,1,16,2497,156,0,13,21,26,23,7,16,3,2,1,0,6,37,2,1,1080,108,31,13
"TCGA.EL.A3ZK.01A",76,28,0,168,30,55,1,5,18,142,7,23,0,0,4,40,555,13,21,76,12,160,0,0,16,15,15,473,1550,800,649,4,4,0,64,351,0,100,5,42,0,135,16,3,17,239,34,37,20,2,16,3,46,55,94,5,24,16,7,1,4,0,12,473,5,254,6,95,4,3,667,13,0,475,12,49,137,42,0,111,3,6,7,1,2,23,189,0,98,968,2,5,3,76,0,12,1,5,0,1,84,10,49,23,437,56,9,0,121,20,0,0,1,86,10,15,720,7,119,0,146,1,0,495,221,86,5,23,3,0,761,63,28,81,274,40,0,3,65,1044,4,261,40,11,6,4,3,3,322,212,10,0,0,115,1,9,9,0,0,1,8,1,47,2,15,1550,3,15,2
"TCGA.DJ.A3V0.01A",252,161,0,684,452,92,13,55,98,904,37,53,0,39,143,1510,892,219,267,191,73,103,1,0,53,215,79,3263,876,3332,1240,86,85,3,120,828,5,213,322,103,12,1009,1374,245,44,450,129,882,32,146,314,6,31,301,2120,2,11,252,1943,181,327,0,33,3387,15,3204,13,88,76,3,16113,61,63,264,15,4594,292,71,21,5458,1,25,39,1,57,670,488,23,1783,21570,13,222,34,156,13,80,16,1636,1,2,3053,28,529,386,720,2054,103,5,97,222,1,21,2,120,105,2964,920,42,278,12,682,23,2,681,198,490,92,391,26,17,2458,724,566,151,3534,672,40,43,907,9035,10,1270,74,603,17,50,69,71,32710,713,1,6,18,1626,24,177,17,5,27,0,23,17,197,8,5,11903,23,289,221
"TCGA.DJ.A2Q6.01A",226,308,6,525,159,98,39,71,272,692,56,217,0,42,81,806,1806,88,163,156,18,357,2,1,119,636,35,3567,2855,419,1129,42,121,2,201,1295,2,737,225,126,30,1120,793,103,64,189,104,1173,197,37,253,4,66,519,1891,6,21,409,735,52,105,0,60,3832,34,5789,9,97,169,2,12734,67,52,475,32,346,617,52,18,3386,4,21,27,12,25,194,846,1,635,33933,2,98,40,400,5,343,24,2085,27,5,1075,115,949,162,995,409,46,24,107,118,1,16,5,86,165,840,1806,142,500,33,2565,50,2,1532,234,305,20,682,65,9,7238,1076,493,386,7299,1749,17,56,2637,7598,11,2808,407,1927,21,30,189,40,7767,968,0,1,20,15790,52,119,10,27,219,6,39,10,305,11,9,18073,11,226,142
