"","x"
"1",0.238146985458486
"2",0.570863838382549
"3",0.45834315147032
"4",0.992430296107981
"5",0.207752877527139
"6",0.178527524653412
"7",0.576958535257782
"8",0.099972528330708
"9",0.0751974604057371
"10",0.0449093446559466
"11",0.00180164480798118
"12",0.548093322456149
"13",0.000259713065914054
"14",0.558578510332335
"15",0.3827646967321
"16",0.509774656454867
"17",0.58199563062634
"18",0.863721026848727
"19",0.219222731200589
"20",0.0465448704887271
"21",0.0201098598071653
"22",0.0486405426400915
"23",0.697129401398976
"24",3.87127339383928e-06
"25",0.567577578674785
"26",0.453644549784301
"27",0.592037585100932
"28",0.0650241827488406
"29",0.897062332337788
"30",0.559501030912476
"31",0.0052533092315263
"32",0.081945471033455
"33",0.0370112301171073
"34",0.466331266520772
"35",0.639494710404358
"36",0.548169507709827
"37",0.0521970572081481
"38",0.576613625817372
"39",0.162705547140328
"40",0.328326507396453
"41",0.788351082532656
"42",0.158627505755701
"43",0.679037470373701
"44",0.105572617587847
"45",0.5367654808489
"46",0.952641424403797
"47",0.236949461565086
"48",0.00389536183553781
"49",0.467839964180334
"50",0.416630775337068
"51",0.416236773490312
"52",0.893184218416399
"53",0.165623761523571
"54",0.631882596935076
"55",0.416025311603372
"56",0.0479798172882254
"57",0.0915070114678773
"58",0.0218043905488858
"59",0.813984174564732
"60",0.0403387372125853
"61",0.287929947986813
"62",0.175592850803005
"63",0.593341743712393
"64",0.917683000470097
"65",0.526295617944561
"66",0.114980198461014
"67",0.24238099429475
"68",0.165843644445713
"69",0.602947278284644
"70",0.574015231930209
"71",0.340281199061105
"72",0.868243295223291
"73",0.86567940680211
"74",1.2610485341748e-06
"75",0.761739290558136
