,P
397,0.95075853
398,0.339283988
399,0.461874864
400,0.644342636
401,0.139260014
402,0.330349241
403,0.602991639
404,0.415333469
405,0.164464232
406,0.113658002
407,0.000500036
408,0.022845915
409,0.377259772
410,0.154125345
411,0.432594975
412,0.617903809
413,0.83213091
414,0.561453889
415,0.199260824
416,0.001963851
417,0.231580393
418,0.108584841
419,0.993034282
420,0.725648312
421,0.318166955
422,0.022152384
423,0.030966964
424,0.444856609
425,0.000827991
426,0.074229946
427,0.147800273
428,0.192639072
429,0.168849475
430,0.169380919
431,0.48193741
432,0.032008677
433,0.4334842
434,0.343216305
435,0.007596718
436,0.018103291
437,0.279385806
438,0.383765804
439,0.292651832
440,0.311606184
441,0.268981887
442,0.019717239
443,0.135583794
444,0.847443952
445,0.319221312
446,0.557849694
447,0.620934728
448,0.007663076
449,0.966119845
450,0.003749006
451,0.011987121
452,0.460886819
453,0.004044626
454,0.221594478
455,0.653970184
456,0.764627496
457,0.892098231
458,0.301794578
459,0.101116817
460,0.598884207
461,0.270169969
462,0.109174375
463,0.520652852
464,0.837959372
465,0.567664352
466,0.593935137
467,0.983466802
468,0.304072151
469,0.342103743
470,0.201057555
471,0.162375013
472,0.074452971
473,0.392319972
474,0.075899783
475,0.840156355
476,0.703967234
477,0.378273003
478,0.60866765
479,0.317074786
480,0.036929059
481,0.054894831
482,0.018125984
483,0.184193599
484,0.00613181
485,0.561373551
486,0.64500525
487,0.781090744
488,0.011992593
489,0.528660866
490,0.090824144
491,0.557569761
492,0.423257839
493,0.187188082
494,0.003591677
495,0.006782178
496,0.95207894
497,0.059116375
498,0.045033076
499,0.555494548
500,0.089902938
501,0.189120517
502,0.476753877
503,0.053327222
504,0.170187346
505,0.980809522
506,0.906321448
507,0.190223763
508,0.349310438
509,0.636002781
510,0.167375124
511,0.156925273
512,0.914892946
513,0.265226855
514,0.130707418
515,0.733340042
516,0.338857311
517,0.898254743
518,0.217520727
519,0.467866203
520,0.828998068
521,0.932352526
522,0.404509136
523,0.733133551
524,0.283246697
525,0.149283182
526,0.805003506
527,0.078714362
528,0.167916093
529,0.995745955
530,0.553287863
531,0.117801194
532,0.018717544
533,0.03611561
534,0.482573043
535,0.442930162
536,0.861532748
537,0.842071351
538,0.38114186
539,0.214920491
540,0.667568912
541,0.269809398
542,0.348977944
543,0.618850063
544,0.334614237
545,0.290320565
546,0.050988724
547,0.339636305
548,0.953928633
549,0.405955281
550,0.207528625
551,0.594763418
552,0.780033143
553,0.967893091
554,0.836881552
555,0.975226436
556,0.218719997
557,0.021299751
558,0.553365452
559,0.759712336
560,0.523990467
561,0.326014569
562,0.950826905
563,0.89969968
564,0.025344062
565,0.396942417
566,0.328826569
567,0.811200009
568,0.604129884
569,0.720136903
570,0.009543707
571,0.069784854
572,0.505505793
573,0.097606119
574,0.062512368
575,0.255218342
576,0.714242871
577,0.939358652
578,0.055313691
579,0.629457062
580,0.451181179
581,0.770929056
582,0.060440063
583,0.985965059
584,0.387576797
585,0.531133878
586,0.331989229
587,0.865380017
588,0.919414516
589,0.680355121
590,0.751861657
591,0.45555781
592,0.085982099
593,0.223491528
594,0.670089029
595,0.065196491
596,0.990144123
597,0.496904846
598,0.723350255
599,0.2639345
600,0.557069083
601,0.69064252
602,0.551730173
603,0.624589502
604,0.933508145
605,0.128957896
606,0.230290702
607,0.264271946
608,0.508017557
609,0.832153068
610,0.960913646
611,0.110400771
612,0.677021001
613,0.003420747
614,0.812625331
615,0.334384194
616,0.231221185
617,0.118336883
618,0.0558768
619,0.623650279
620,0.284899337
621,0.206958505
622,0.084380583
623,0.01149749
624,0.017907798
625,0.335177894
626,0.720291084
627,0.471627433
628,0.052533831
629,0.069959207
630,0.163838392
631,0.048908554
632,0.153646989
633,0.597412196
634,0.002407749
635,0.011059205
636,0.001295067
637,0.033368426
638,0.566393271
639,0.014025392
640,0.004088651
641,0.908398492
642,0.454339921
643,0.483231548
644,0.674950975
645,0.334935229
646,0.033510252
647,0.312774273
648,0.243987486
649,2.48E-05
650,0.937094268
651,0.867617231
652,0.415587959
653,0.072048388
654,0.125153649
655,0.452279778
656,0.006190295
657,0.689515076
658,0.051036977
